taxid	node	rank	n_children	n_tips	is_polytomy
8287	Sarcopterygii	SUPERCLASS	2	206	0
32561	Sauria	CLADE	2	159	0
119203	Selachii	INFRACLASS	2	7	0
314293	Simiiformes	INFRAORDER	2	4	0
9231	Spheniscidae	FAMILY	2	3	0
1489798	Stomiati	CLADE	2	2	0
30458	Strigiformes	ORDER	2	2	0
8801	Struthio camelus	SPECIES	2	2	0
32443	Teleostei	INFRACLASS	2	84	0
32523	Tetrapoda	CLADE	2	204	0
32525	Theria	CLADE	2	36	0
33574	Threskiornithidae	FAMILY	2	2	0
9242	Trochilidae	FAMILY	2	2	0
28728	Tyrannidae	FAMILY	2	2	0
1329950	Unidentata	CLADE	2	3	0
7742	Vertebrata	CLADE	2	309	0
9348	Xenarthra	SUPERORDER	2	2	0
30560	Yangochiroptera	SUBORDER	2	2	0
1489841	Zeiogadaria	CLADE	2	4	0
36297	Zosteropidae	FAMILY	2	2	0
57068	Acanthisitta chloris	SPECIES	1	1	0
1316013	Acanthurus tractus	SPECIES	1	1	0
39621	Acrocephalus arundinaceus	SPECIES	1	1	0
48278	Aegotheles bennettii	SPECIES	1	1	0
121402	Albula glossodonta	SPECIES	1	1	0
1534307	Albula goreensis	SPECIES	1	1	0
28689	Alca torda	SPECIES	1	1	0
143900	Aldrovandia affinis	SPECIES	1	1	0
461220	Aleadryas rufinucha	SPECIES	1	1	0
170189	Alepocephalus tenebrosus	SPECIES	1	1	0
8496	Alligator mississippiensis	SPECIES	1	1	0
1195602	Amblyopsis spelaea	SPECIES	1	1	0
208324	Ameca splendens	SPECIES	1	1	0
2972642	Amia ocellicauda	SPECIES	1	1	0
146480	Ammodytes marinus	SPECIES	1	1	0
8839	Anas platyrhynchos	SPECIES	1	1	0
8811	Anomalopteryx didiformis	SPECIES	1	1	0
241820	Antennarius striatus	SPECIES	1	1	0
156561	Anthoscopus minutus	SPECIES	1	1	0
279965	Antrostomus carolinensis	SPECIES	1	1	0
57397	Apaloderma vittatum	SPECIES	1	1	0
39617	Aphelocoma coerulescens	SPECIES	1	1	0
946358	Aplochiton taeniatus	SPECIES	1	1	0
9233	Aptenodytes forsteri	SPECIES	1	1	0
9234	Aptenodytes patagonicus	SPECIES	1	1	0
2696672	Apteryx mantelli	SPECIES	1	1	0
8895	Apus apus	SPECIES	1	1	0
8400	Aquarana catesbeiana	SPECIES	1	1	0
54356	Aramus guarauna	SPECIES	1	1	0
113544	Arapaima gigas	SPECIES	1	1	0
208326	Ataeniobius toweri	SPECIES	1	1	0
2478892	Atlantisia rogersi	SPECIES	1	1	0
7917	Atractosteus spatula	SPECIES	1	1	0
33584	Balaeniceps rex	SPECIES	1	1	0
100784	Balearica regulorum gibbericeps	SUBSPECIES	1	1	0
9083	Bambusicola thoracicus	SPECIES	1	1	0
176943	Baryphthengus martii	SPECIES	1	1	0
8345	Bombina bombina	SPECIES	1	1	0
473354	Borostomias antarcticus	SPECIES	1	1	0
8724	Bothrops jararaca	SPECIES	1	1	0
3235156	Brachypodius melanocephalos	SPECIES	1	1	0
135168	Bucco capensis	SPECIES	1	1	0
175836	Buceros rhinoceros silvestris	SUBSPECIES	1	1	0
153643	Bucorvus abyssinicus	SPECIES	1	1	0
245048	Buphagus erythrorhynchus	SPECIES	1	1	0
1347786	Callaeas wilsoni	SPECIES	1	1	0
7868	Callorhinchus milii	SPECIES	1	1	0
187106	Caloenas nicobarica	SPECIES	1	1	0
1323832	Calonectris borealis	SPECIES	1	1	0
9244	Calypte anna	SPECIES	1	1	0
111811	Caprimulgus europaeus	SPECIES	1	1	0
206100	Capros aper	SPECIES	1	1	0
13397	Carcharodon carcharias	SPECIES	1	1	0
54380	Cariama cristata	SPECIES	1	1	0
43455	Cathartes aura	SPECIES	1	1	0
159581	Catharus fuscescens	SPECIES	1	1	0
1463675	Centropus bengalensis	SPECIES	1	1	0
73333	Certhia familiaris	SPECIES	1	1	0
46360	Cervus elaphus hippelaphus	SUBSPECIES	1	1	0
84702	Cervus hanglu yarkandensis	SUBSPECIES	1	1	0
1961834	Ceuthmochares aereus	SPECIES	1	1	0
390723	Ceyx cyanopectus	SPECIES	1	1	0
36190	Chaenocephalus aceratus	SPECIES	1	1	0
109706	Chaetodon trifascialis	SPECIES	1	1	0
8897	Chaetura pelagica	SPECIES	1	1	0
215402	Channa argus	SPECIES	1	1	0
29144	Chanos chanos	SPECIES	1	1	0
208331	Characodon lateralis	SPECIES	1	1	0
50402	Charadrius vociferus	SPECIES	1	1	0
241271	Cheilinus undulatus	SPECIES	1	1	0
48171	Chelon labrosus	SPECIES	1	1	0
137246	Chiloscyllium punctatum	SPECIES	1	1	0
187382	Chlamydotis macqueenii	SPECIES	1	1	0
