accession	organism	taxid	status	path
GCA_036250325.1	Characodon lateralis	208331	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Ovalentaria > Atherinomorphae > Cyprinodontiformes > Cyprinodontoidei > Goodeidae > Characodon > Characodon lateralis
GCF_019740435.1	Gambusia affinis	33528	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Ovalentaria > Atherinomorphae > Cyprinodontiformes > Cyprinodontoidei > Poeciliidae > Poeciliinae > Gambusia > Gambusia affinis
GCA_040091325.1	Goodea atripinnis	208336	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Ovalentaria > Atherinomorphae > Cyprinodontiformes > Cyprinodontoidei > Goodeidae > Goodea > Goodea atripinnis
GCA_040091305.1	Ilyodon furcidens	33524	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Ovalentaria > Atherinomorphae > Cyprinodontiformes > Cyprinodontoidei > Goodeidae > Ilyodon > Ilyodon furcidens
GCF_043380555.1	Nothobranchius furzeri	105023	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Ovalentaria > Atherinomorphae > Cyprinodontiformes > Aplocheiloidei > Nothobranchiidae > Nothobranchius > Nothobranchius furzeri
GCA_040091335.1	Xenoophorus captivus	1517983	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Ovalentaria > Atherinomorphae > Cyprinodontiformes > Cyprinodontoidei > Goodeidae > Xenoophorus > Xenoophorus captivus
GCA_040091345.1	Xenotaenia resolanae	208358	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Ovalentaria > Atherinomorphae > Cyprinodontiformes > Cyprinodontoidei > Goodeidae > Xenotaenia > Xenotaenia resolanae
GCF_013368585.1	Megalops cyprinoides	118141	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Elopocephalai > Elopocephala > Elopomorpha > Elopiformes > Megalopidae > Megalops > Megalops cyprinoides
GCA_058707665.1	Platax teira	334891	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Ephippiformes > Ephippidae > Platax > Platax teira
GCF_011004845.1	Esox lucius	8010	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Protacanthopterygii > Esociformes > Esocidae > Esox > Esox lucius
GCF_902167405.1	Gadus morhua	8049	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Paracanthopterygii > Zeiogadaria > Gadariae > Gadiformes > Gadoidei > Gadidae > Gadus > Gadus morhua
GCA_027704905.1	Muraenolepis orangiensis	630683	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Paracanthopterygii > Zeiogadaria > Gadariae > Gadiformes > Muraenolepidoidei > Muraenolepididae > Muraenolepis > Muraenolepis orangiensis
GCA_017639675.1	Aplochiton taeniatus	946358	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Protacanthopterygii > Galaxiiformes > Galaxiidae > Galaxiinae > Aplochitonini > Aplochiton > Aplochiton taeniatus
GCA_984656905.1	Parequula melbournensis	548269	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Gerreiformes > Gerreidae > Parequula > Parequula melbournensis
GCF_951799975.1	Gobius niger	85417	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Gobiaria > Gobiiformes > Gobioidei > Gobiidae > Gobiinae > Gobius > Gobius niger
GCF_902362185.1	Chanos chanos	29144	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Otomorpha > Ostariophysi > Anotophysi > Gonorynchiformes > Chanoidei > Chanidae > Chanos > Chanos chanos
GCF_041902795.1	Electrophorus electricus	8005	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Otomorpha > Ostariophysi > Otophysi > Characiphysae > Gymnotiformes > Gymnotoidei > Gymnotidae > Electrophorus > Electrophorus electricus
GCA_056783565.1	Hiodon alosoides	54904	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Osteoglossocephala > Osteoglossomorpha > Hiodontiformes > Hiodontidae > Hiodon > Hiodon alosoides
GCF_902150065.1	Myripristis murdjan	586833	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Holocentrimorphaceae > Holocentriformes > Holocentridae > Myripristinae > Myripristis > Myripristis murdjan
GCF_016859285.1	Xiphias gladius	8245	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Carangaria > Istiophoriformes > Xiphiidae > Xiphias > Xiphias gladius
GCF_902148855.1	Sphaeramia orbicularis	375764	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Gobiaria > Kurtiformes > Apogonoidei > Apogonidae > Apogoninae > Sphaeramia > Sphaeramia orbicularis
GCF_018320785.1	Cheilinus undulatus	241271	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Labriformes > Labridae > Cheilinus > Cheilinus undulatus
GCF_029633865.1	Lampris incognitus	2546036	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Lampridacea > Lampriformes > Lampridae > Lampris > Lampris incognitus
GCA_051992705.1	Lepidogalaxias salamandroides	89578	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Lepidogalaxii > Lepidogalaxiiformes > Lepidogalaxiidae > Lepidogalaxias > Lepidogalaxias salamandroides
GCA_054883175.1	Datnioides polota	428446	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Lobotiformes > Datnioididae > Datnioides > Datnioides polota
GCF_040054535.1	Antennarius striatus	241820	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Lophiiformes > Antennarioidei > Antennariidae > Antennarius > Antennarius striatus
GCF_056507025.1	Lutjanus erythropterus	211835	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Lutjaniformes > Lutjanidae > Lutjaninae > Lutjanus > Lutjanus erythropterus
GCF_963514085.1	Chelon labrosus	48171	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Ovalentaria > Mugilomorphae > Mugiliformes > Mugilidae > Chelon > Chelon labrosus
GCF_963921795.1	Nannobrachium achirus	473322	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Myctophata > Myctophiformes > Myctophidae > Nannobrachium > Nannobrachium achirus
GCA_029706075.1	Aldrovandia affinis	143900	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Elopocephalai > Elopocephala > Elopomorpha > Notacanthiformes > Halosauridae > Aldrovandia > Aldrovandia affinis
GCF_046128005.1	Genypterus blacodes	154954	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Ophidiaria > Ophidiiformes > Ophidioidei > Ophidiidae > Ophidiinae > Genypterus > Genypterus blacodes
GCF_054491055.1	Hypomesus nipponensis	182223	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Stomiati > Osmeriformes > Osmeridae > Hypomesinae > Hypomesus > Hypomesus nipponensis
GCA_054883375.1	Arapaima gigas	113544	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Osteoglossocephala > Osteoglossomorpha > Osteoglossiformes > Osteoglossidae > Arapaima > Arapaima gigas
GCF_048594095.1	Paramormyrops kingsleyae	1676925	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Osteoglossocephala > Osteoglossomorpha > Osteoglossiformes > Mormyridae > Paramormyrops > Paramormyrops kingsleyae
