topology	variant	event	species_node	n_gene_leaves	paralog_groups	implied_losses	gene_node_support	n_children
H2_13	without_cyclostome	speciation	Chondrichthyes	3	ITPR3	0		2
H2_13	without_cyclostome	speciation	Elasmobranchii	2	ITPR3	1		2
H2_13	without_cyclostome	duplication	Osteichthyes	16	ITPR3	2		2
H2_13	without_cyclostome	speciation	Osteichthyes	3	ITPR3	1		2
H2_13	without_cyclostome	speciation	Clupeocephala	2	ITPR3	3		2
H2_13	without_cyclostome	speciation	Tetrapoda	13	ITPR3	0		2
H2_13	without_cyclostome	speciation	Pipidae	2	ITPR3	0		2
H2_13	without_cyclostome	speciation	Amniota	11	ITPR3	0		2
H2_13	without_cyclostome	duplication	Boreoeutheria	5	ITPR3	2		2
H2_13	without_cyclostome	speciation	Muridae	2	ITPR3	0		2
H2_13	without_cyclostome	speciation	Boreoeutheria	3	ITPR3	2		2
H2_13	without_cyclostome	speciation	Primates	2	ITPR3	0		2
H2_13	without_cyclostome	speciation	Sauria	6	ITPR3	1		2
H2_13	without_cyclostome	speciation	Lepidosauria	2	ITPR3	2		2
H2_13	without_cyclostome	speciation	Neognathae	4	ITPR3	0		2
H2_13	without_cyclostome	speciation	Telluraves	3	ITPR3	1		2
H2_13	without_cyclostome	speciation	Passerida	2	ITPR3	0		2
H2_13	without_cyclostome	speciation	Gnathostomata	13	ITPR2	0		2
H2_13	without_cyclostome	speciation	Chondrichthyes	3	ITPR2	0		2
H2_13	without_cyclostome	speciation	Elasmobranchii	2	ITPR2	1		2
H2_13	without_cyclostome	speciation	Osteichthyes	10	ITPR2	1		2
H2_13	without_cyclostome	speciation	Tetrapoda	7	ITPR2	1		2
H2_13	without_cyclostome	duplication	Amniota	6	ITPR2	4		2
H2_13	without_cyclostome	speciation	Amniota	5	ITPR2	3		2
H2_13	without_cyclostome	speciation	Euarchontoglires	3	ITPR2	1		2
H2_13	without_cyclostome	speciation	Muridae	2	ITPR2	0		2
H2_13	without_cyclostome	speciation	Neognathae	2	ITPR2	2		2
H2_13	without_cyclostome	speciation	Clupeocephala	3	ITPR2	1		2
H2_13	without_cyclostome	speciation	Percomorphaceae	2	ITPR2	1		2
H3_23	with_cyclostome	duplication	Vertebrata	57	ITPR1+ITPR2+ITPR3+unplaced	1		2
