accession	call	confidence	reason	instruments	arch_call	profile_call	profile_confidence	itpr_score	ryr_score	rel_margin	searches	source	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams	v2_call
A0A026VRJ2	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	51.5	539.3	0.9045	interpro+calibration	InterPro	X777_00206	Ryanodine receptor 44F	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	2015173	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Hymenoptera	Formicidae	354	0	fragment	0	Predicted	1	PF01365	PF01365	1		unassigned
A0A067BPJ2	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	74.9	62.0	0.1722	interpro+calibration	InterPro	SPRG_17875	Uncharacterized protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	517	0	fragment	0	Predicted	1	PF08709	PF02815;PF08709	2		unassigned
A0A067CP00	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	911.6	247.7	0.7283	interpro+calibration	InterPro	SPRG_03410	RyR/IP3R Homology associated domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	1873	0		0	Predicted	0	PF08454	PF00520;PF08454	2		unassigned
A0A067CSU7	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	402.7	94.4	0.7656	interpro+calibration	InterPro	SPRG_04939	Uncharacterized protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	1905	0		0	Predicted	0	PF01365;PF08454;PF08709	PF01365;PF02815;PF08454;PF08709	4		unassigned
A0A067CZJ8	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	407.6	86.1	0.7888	interpro+calibration	InterPro	SPRG_03409	MIR domain-containing protein	Saprolegnia parasitica (strain CBS 223.65)	695850	SAR		Oomycota	Saprolegniomycetes	Saprolegniales	Saprolegniaceae	1070	0		0	Predicted	1	PF01365;PF08709	PF01365;PF08709	2		unassigned
A0A067QFR8	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	68.8	662.3	0.8961	interpro+calibration	InterPro	L798_04426	Ryanodine receptor 44F	Zootermopsis nevadensis (Dampwood termite)	136037	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Insecta	Blattodea	Termopsidae	444	0		0	Predicted	1	PF01365	PF01365	1		unassigned
A0A077ZYI0	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	349.1	127.2	0.6356	interpro+calibration	InterPro	Contig4758.g5084	RyR/IP3R Homology associated domain-containing protein	Stylonychia lemnae (Ciliate)	5949	SAR		Ciliophora	Spirotrichea	Sporadotrichida	Oxytrichidae	2799	1		0	Predicted	0	PF08454	PF08454	1		unassigned
A0A078A4T9	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	343.6	156.5	0.5445	interpro+calibration	InterPro	Contig15245.g16249	Uncharacterized protein	Stylonychia lemnae (Ciliate)	5949	SAR		Ciliophora	Spirotrichea	Sporadotrichida	Oxytrichidae	2116	1		0	Predicted	0	PF08454	PF00520;PF08454	2		unassigned
A0A087UUA3	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	480.1	0.0	1.0	interpro+calibration	InterPro	X975_03094	Inositol 1,4,5-trisphosphate receptor type 1	Stegodyphus mimosarum (African social velvet spider)	407821	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Arachnida	Araneae	Eresidae	290	0	fragment	0	Predicted	1	PF01365	PF01365	1		unassigned
A0A087UUA7	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	413.3	30.3	0.9267	interpro+calibration	InterPro	X975_03098	Inositol 1,4,5-trisphosphate receptor	Stegodyphus mimosarum (African social velvet spider)	407821	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Arachnida	Araneae	Eresidae	264	0	fragment	0	Predicted	1	PF08454	PF08454	1		unassigned
