accession	call	confidence	reason	instruments	arch_call	profile_call	profile_confidence	itpr_score	ryr_score	rel_margin	searches	source	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams	v2_call
A0A2K5NJ24	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1622.7	158.6	0.9023	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	9531	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	1021	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A2K5NJA6	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	996.6	122.7	0.8769	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	9531	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	631	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A2K5W297	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1315.6	328.0	0.7507	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	9541	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	721	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		unassigned
A0A2K5W2N9	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	996.6	122.7	0.8769	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	9541	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	631	0		0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A2K5XXS5	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1315.0	328.1	0.7505	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	9568	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	721	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		unassigned
A0A2K5Y2P8	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1636.2	158.6	0.9031	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	9568	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	1007	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A2K5Y2R7	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	996.6	122.7	0.8769	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	9568	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	631	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A2K6CKJ8	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1315.6	328.0	0.7507	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Macaca nemestrina (Pig-tailed macaque)	9545	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	721	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		unassigned
A0A2K6CKX1	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1622.7	158.6	0.9023	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Macaca nemestrina (Pig-tailed macaque)	9545	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	1021	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A2K6CKY6	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	996.6	122.7	0.8769	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Macaca nemestrina (Pig-tailed macaque)	9545	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	631	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A2K6GGA6	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1314.5	327.2	0.7511	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	379532	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Indriidae	721	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		unassigned
A0A2K6GGB2	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1624.6	158.5	0.9024	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	379532	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Indriidae	1026	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A2K6LIF7	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1315.6	328.0	0.7507	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	61621	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	721	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		unassigned
A0A2K6LIL7	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	995.2	122.7	0.8767	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	61621	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	632	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A2K6SY62	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1314.9	328.5	0.7502	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	39432	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cebidae	721	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		unassigned
A0A2K6SYS4	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1613.7	158.8	0.9016	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	39432	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cebidae	977	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A2K6SYY5	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	995.3	122.7	0.8767	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	39432	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Cebidae	634	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A2L2YWK1	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	41.8	312.3	0.8662	interpro+calibration	InterPro		Ryanodine receptor 44F	Parasteatoda tepidariorum (Common house spider) (Achaearanea tepidariorum)	114398	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Arachnida	Araneae	Theridiidae	201	0	fragment	0	Evidence at transcript level	1	PF01365	PF01365	1		unassigned
A0A2P2I6I6	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	74.6	650.1	0.8852	interpro+calibration	InterPro		Ryanodine receptor	Hirondellea gigas	1518452	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	522	0	fragment	0	Evidence at transcript level	1	PF08454	PF08454;PF13499	1		unassigned
A0A2P2IAP5	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	39.1	322.6	0.8788	interpro+calibration	InterPro		Ryanodine receptor 44F	Hirondellea gigas	1518452	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	231	0	fragment	0	Evidence at transcript level	1	PF01365	PF01365	1		unassigned
A0A2P2IAQ5	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	980.6	28.5	0.9709	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Hirondellea gigas	1518452	Metazoa (non-vertebrate)	Metazoa	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	891	0	fragment	0	Evidence at transcript level	1	PF01365	PF01365	1		unassigned
A0A2P4T3S3	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2519.7	141.1	0.944	interpro+calibration+sweep	InterPro	CIB84_005232	Inositol 1,4,5-trisphosphate receptor	Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica)	9083	Vertebrata	Metazoa	Chordata	Aves	Galliformes	Phasianidae	1702	0	fragment	0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A2P4T5C2	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1273.0	128.9	0.8987	interpro+calibration+sweep	InterPro	CIB84_004674	Inositol 1,4,5-trisphosphate receptor	Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica)	9083	Vertebrata	Metazoa	Chordata	Aves	Galliformes	Phasianidae	782	0	fragment	0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A2P4TDT6	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	892.3	44.8	0.9498	interpro+calibration+sweep	InterPro	CIB84_001726	Inositol 1,4,5-trisphosphate receptor	Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica)	9083	Vertebrata	Metazoa	Chordata	Aves	Galliformes	Phasianidae	615	0		0	Inferred from homology	1	PF01365	PF01365;PF02815	2		unassigned
A0A2R9C4D3	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1314.7	327.6	0.7508	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Pan paniscus (Pygmy chimpanzee) (Bonobo)	9597	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hominidae	721	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		unassigned
A0A2R9C508	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	993.8	122.1	0.8771	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Pan paniscus (Pygmy chimpanzee) (Bonobo)	9597	Vertebrata	Metazoa	Chordata	Mammalia	Primates	Hominidae	714	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A2T7NGN4	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	415.6	32.7	0.9213	interpro+calibration	InterPro	C0Q70_18497	MIR domain-containing protein	Pomacea canaliculata (Golden apple snail)	400727	Metazoa (non-vertebrate)	Metazoa	Mollusca	Gastropoda	Architaenioglossa	Ampullariidae	1228	0		0	Predicted	1	PF01365	PF01365;PF02815	2		unassigned
A0A2T7NGN7	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	212.3	50.2	0.7635	interpro+calibration	InterPro	C0Q70_18498	Inositol 1,4,5-trisphosphate receptor	Pomacea canaliculata (Golden apple snail)	400727	Metazoa (non-vertebrate)	Metazoa	Mollusca	Gastropoda	Architaenioglossa	Ampullariidae	297	0		0	Inferred from homology	1	PF08709	PF08709	1		unassigned
A0A2T7NGS9	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	568.1	151.3	0.7337	interpro+calibration	InterPro	C0Q70_18496	Ion transport domain-containing protein	Pomacea canaliculata (Golden apple snail)	400727	Metazoa (non-vertebrate)	Metazoa	Mollusca	Gastropoda	Architaenioglossa	Ampullariidae	1267	0		0	Predicted	1	PF08454	PF00520;PF08454	2		unassigned
A0A2U3YEA6	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2494.0	246.3	0.9012	interpro+calibration+sweep	InterPro	LOC102739407	Inositol 1,4,5-trisphosphate receptor	Leptonychotes weddellii (Weddell seal) (Otaria weddellii)	9713	Vertebrata	Metazoa	Chordata	Mammalia	Carnivora	Phocidae	1593	0		0	Inferred from homology	0	PF01365;PF08454	PF00520;PF01365;PF08454	3		unassigned
A0A315UPK6	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	103.8	582.9	0.8219	interpro+calibration+sweep	InterPro	CCH79_00016697	RyR/IP3R Homology associated domain-containing protein	Gambusia affinis (Western mosquitofish) (Heterandria affinis)	33528	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	291	0		0	Predicted	1	PF08454	PF08454	1		unassigned
A0A315VJZ8	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1203.9	127.9	0.8938	interpro+calibration+sweep	InterPro	CCH79_00018985	Inositol 1,4,5-trisphosphate receptor	Gambusia affinis (Western mosquitofish) (Heterandria affinis)	33528	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	735	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A367KEP6	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	447.9	43.7	0.9024	interpro+calibration	InterPro	CU098_000902	RyR/IP3R Homology associated domain-containing protein	Rhizopus stolonifer (Rhizopus nigricans)	4846	Fungi	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	1501	0	fragment	0	Predicted	0	PF08454	PF08454	1		unassigned
A0A368GMA7	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	975.1	269.9	0.7232	interpro+calibration	InterPro	ANCCAN_09217	Transporter, cation channel family protein	Ancylostoma caninum (Dog hookworm)	29170	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	948	0		0	Predicted	1	PF08454	PF00520;PF08454	2		unassigned
A0A368GNZ1	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1203.6	119.7	0.9005	interpro+calibration	InterPro	ANCCAN_09219	Inositol 1,4,5-trisphosphate receptor	Ancylostoma caninum (Dog hookworm)	29170	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Ancylostomatidae	1190	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A3B3BXX3	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2303.7	284.4	0.8765	interpro+calibration+sweep	InterPro		Inositol 1,4,5-trisphosphate receptor, type 2	Oryzias melastigma (Marine medaka)	30732	Vertebrata	Metazoa	Chordata	Actinopteri	Beloniformes	Adrianichthyidae	1588	0		0	Predicted	0	PF01365;PF08454	PF00520;PF01365;PF08454	3		unassigned
A0A3B3WVC6	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1557.2	142.1	0.9087	interpro+calibration+sweep	InterPro		Inositol 1,4,5-trisphosphate receptor	Poecilia mexicana	48701	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	996	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A3B3Y4Z0	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1141.4	287.2	0.7484	interpro+calibration+sweep	InterPro		Inositol 1,4,5-trisphosphate receptor	Poecilia mexicana	48701	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	723	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		unassigned
A0A3B3ZTN0	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1209.5	327.1	0.7296	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Periophthalmus magnuspinnatus	409849	Vertebrata	Metazoa	Chordata	Actinopteri	Gobiiformes	Gobiidae	690	0		0	Inferred from homology	1	PF08709	PF00520;PF02815;PF08709	3		unassigned
A0A3B4B9J9	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2495.2	268.8	0.8923	interpro+calibration+sweep	InterPro		Uncharacterized protein	Periophthalmus magnuspinnatus	409849	Vertebrata	Metazoa	Chordata	Actinopteri	Gobiiformes	Gobiidae	1588	0		0	Predicted	0	PF01365;PF08454	PF00520;PF01365;PF08454	3		unassigned
A0A3B4BJ96	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2368.4	289.5	0.8778	interpro+calibration+sweep	InterPro		Inositol 1,4,5-trisphosphate receptor, type 1a	Periophthalmus magnuspinnatus	409849	Vertebrata	Metazoa	Chordata	Actinopteri	Gobiiformes	Gobiidae	1612	0		0	Predicted	0	PF01365;PF08454	PF00520;PF01365;PF08454	3		unassigned
A0A3B5L5P5	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1563.6	139.5	0.9108	interpro+calibration+sweep	InterPro		Inositol 1,4,5-trisphosphate receptor	Xiphophorus couchianus (Monterrey platyfish)	32473	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	993	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A3B5MG84	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1538.4	65.3	0.9576	interpro+calibration	InterPro		Uncharacterized protein	Xiphophorus couchianus (Monterrey platyfish)	32473	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	1217	0		0	Predicted	1	PF01365;PF08454	PF01365;PF08454	2		unassigned
A0A3B5MN81	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2308.9	125.7	0.9456	interpro+calibration+sweep	InterPro		Inositol 1,4,5-trisphosphate receptor	Xiphophorus couchianus (Monterrey platyfish)	32473	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	1808	0		0	Inferred from homology	0	PF01365;PF08454;PF08709	PF01365;PF02815;PF08454;PF08709	4		unassigned
A0A3L5TRS9	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	161.3	24.4	0.8487	interpro+calibration	InterPro	AM593_08909	Inositol 3-trisphosphate receptor type	Mytilus galloprovincialis (Mediterranean mussel)	29158	Metazoa (non-vertebrate)	Metazoa	Mollusca	Bivalvia	Mytilida	Mytilidae	353	0	fragment	0	Predicted	1	PF08454	PF08454	1		unassigned
A0A3L8SBR8	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2698.5	0.0	1.0	interpro+calibration+sweep	InterPro	DV515_00009541	Inositol 1,4,5-trisphosphate receptor	Chloebia gouldiae (Gouldian finch) (Erythrura gouldiae)	44316	Vertebrata	Metazoa	Chordata	Aves	Passeriformes	Passeridae	1801	0	fragment	0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A3L8SGZ5	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2329.5	0.0	1.0	interpro+calibration+sweep	InterPro	DV515_00007630	Inositol 1,4,5-trisphosphate receptor	Chloebia gouldiae (Gouldian finch) (Erythrura gouldiae)	44316	Vertebrata	Metazoa	Chordata	Aves	Passeriformes	Passeridae	1634	0	fragment	0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A3M0JEG2	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1431.4	68.3	0.9523	interpro+calibration+sweep	InterPro	DUI87_24097	RyR/IP3R Homology associated domain-containing protein	Hirundo rustica rustica	333673	Vertebrata	Metazoa	Chordata	Aves	Passeriformes	Hirundinidae	1169	0		0	Predicted	1	PF01365;PF08454	PF01365;PF08454	2		unassigned
A0A3M0JFF8	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	632.2	102.1	0.8385	interpro+calibration+sweep	InterPro	DUI87_24596	Inositol 1,4,5-trisphosphate receptor	Hirundo rustica rustica	333673	Vertebrata	Metazoa	Chordata	Aves	Passeriformes	Hirundinidae	393	0		0	Inferred from homology	1	PF08709	PF02815;PF08709	2		unassigned
A0A3M0JG87	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1642.0	145.7	0.9113	interpro+calibration+sweep	InterPro	DUI87_24096	Inositol 1,4,5-trisphosphate receptor	Hirundo rustica rustica	333673	Vertebrata	Metazoa	Chordata	Aves	Passeriformes	Hirundinidae	1023	0		0	Inferred from homology	1	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A3M7P5I4	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	281.3	32.5	0.8845	interpro+calibration	InterPro	BpHYR1_019517	Inositol 1,4,5-trisphosphate receptor	Brachionus plicatilis (Marine rotifer) (Brachionus muelleri)	10195	Metazoa (non-vertebrate)	Metazoa	Rotifera	Eurotatoria	Ploima	Brachionidae	250	0	fragment	0	Inferred from homology	1	PF01365	PF01365;PF02815	2		unassigned
A0A3M7PNH8	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	407.4	76.0	0.8135	interpro+calibration	InterPro	BpHYR1_024467	Inositol 1,4,5-trisphosphate receptor	Brachionus plicatilis (Marine rotifer) (Brachionus muelleri)	10195	Metazoa (non-vertebrate)	Metazoa	Rotifera	Eurotatoria	Ploima	Brachionidae	286	0	fragment	0	Inferred from homology	1	PF08709	PF02815;PF08709	2		unassigned
A0A3M7QQ86	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	634.1	56.9	0.9103	interpro+calibration	InterPro	BpHYR1_020101	Inositol 1-4-5-trisphosphate receptor type 3	Brachionus plicatilis (Marine rotifer) (Brachionus muelleri)	10195	Metazoa (non-vertebrate)	Metazoa	Rotifera	Eurotatoria	Ploima	Brachionidae	694	0		0	Predicted	1	PF08454	PF08454	1		unassigned
A0A3M7S5B6	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	430.7	63.1	0.8535	interpro+calibration	InterPro	BpHYR1_036136	Inositol 1,4,5-trisphosphate receptor	Brachionus plicatilis (Marine rotifer) (Brachionus muelleri)	10195	Metazoa (non-vertebrate)	Metazoa	Rotifera	Eurotatoria	Ploima	Brachionidae	381	0		0	Inferred from homology	1	PF01365	PF01365;PF02815	2		unassigned
A0A3M7S5P4	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	435.4	27.1	0.9378	interpro+calibration	InterPro	BpHYR1_036109	Inositol 1,4,5-trisphosphate receptor	Brachionus plicatilis (Marine rotifer) (Brachionus muelleri)	10195	Metazoa (non-vertebrate)	Metazoa	Rotifera	Eurotatoria	Ploima	Brachionidae	811	0		0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A3M7S5S2	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	339.0	49.2	0.8549	interpro+calibration	InterPro	BpHYR1_036107	Inositol 1-4-5-trisphosphate receptor type 1	Brachionus plicatilis (Marine rotifer) (Brachionus muelleri)	10195	Metazoa (non-vertebrate)	Metazoa	Rotifera	Eurotatoria	Ploima	Brachionidae	289	0	fragment	0	Predicted	1	PF08709	PF08709	1		unassigned
A0A3N0YGH5	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	167.6	1566.9	0.893	interpro+calibration+sweep	InterPro	DPX16_17874	Ryanodine receptor 2	Anabarilius grahami (Kanglang fish) (Barilius grahami)	495550	Vertebrata	Metazoa	Chordata	Actinopteri	Cypriniformes	Xenocyprididae	1437	0		0	Predicted	0	PF08454	PF08454	1		unassigned
A0A3P6QHA2	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	354.9	71.0	0.7999	interpro+calibration	InterPro	GPUH_LOCUS1971	Inositol 1,4,5-trisphosphate receptor	Gongylonema pulchrum	637853	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Gongylonematidae	286	0		0	Inferred from homology	1	PF08709	PF02815;PF08709	2		unassigned
A0A3P6RX41	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	40.1	403.8	0.9007	interpro+calibration	InterPro	CGOC_LOCUS5146	RIH domain-containing protein	Cylicostephanus goldi (Nematode worm)	71465	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Strongylidae	294	0		0	Predicted	1	PF01365	PF01365;PF02815	2		unassigned
A0A3P6SAI8	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	46.8	457.0	0.8976	interpro+calibration	InterPro	CGOC_LOCUS2440	RIH domain-containing protein	Cylicostephanus goldi (Nematode worm)	71465	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Strongylidae	308	0		0	Predicted	1	PF01365	PF01365	1		unassigned
A0A3P6SAQ4	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	1219.0	185.5	0.8478	interpro+calibration	InterPro	NOO_LOCUS1393	Inositol 1,4,5-trisphosphate receptor type 1	Onchocerca ochengi (Filarial nematode worm)	42157	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Onchocercidae	1718	0	fragment	0	Predicted	0	PF01365;PF08454	PF00520;PF01365;PF08454	3		unassigned
A0A3P7BK22	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	1022.5	258.2	0.7475	interpro+calibration	InterPro	NBR_LOCUS18651	Uncharacterized protein	Nippostrongylus brasiliensis (Rat hookworm)	27835	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Heligmosomidae	851	0		0	Predicted	1	PF08454	PF00520;PF08454	2		unassigned
A0A3P7J5Y5	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	946.9	287.7	0.6962	interpro+calibration	InterPro	SVUK_LOCUS10901	Ion transport domain-containing protein	Strongylus vulgaris (Blood worm)	40348	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Strongylidae	857	0		0	Predicted	0	PF08454	PF00520;PF08454	2		unassigned
A0A3P7LB65	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	61.7	568.8	0.8915	interpro+calibration	InterPro	SVUK_LOCUS14973	RIH domain-containing protein	Strongylus vulgaris (Blood worm)	40348	Metazoa (non-vertebrate)	Metazoa	Nematoda	Chromadorea	Rhabditida	Strongylidae	403	0		0	Predicted	1	PF01365	PF01365	1		unassigned
A0A3P7LT57	RYR	medium	profile only — architecture incomplete	profile	unassigned	RYR	medium	0.0	303.0	1.0	interpro+calibration	InterPro	DILT_LOCUS9059	RIH domain-containing protein	Dibothriocephalus latus (Fish tapeworm) (Diphyllobothrium latum)	60516	Metazoa (non-vertebrate)	Metazoa	Platyhelminthes	Cestoda	Diphyllobothriidea	Diphyllobothriidae	470	0		0	Predicted	1	PF01365	PF01365	1		unassigned
