kind	number	slug	figure	format	width_in	height_in	source	deposited_as	bytes	sha256	caption_stub
ed	4	instruments	ExtDataFig4b_instruments	pdf			results/census_v3/figures/proteome_copy_number.pdf	figures/ExtDataFig4b_instruments.pdf	37680	5daf0310592bec483524fa7d90fb2ded356f0b53921f29cf309df2d32245e870	Two instruments on one census
ed	5	completeness	ExtDataFig5a_completeness	png	6.638	2.538	results/census_v3/figures/jackhmmer_convergence.png	figures/ExtDataFig5a_completeness.png	265592	34122732d53629554d55c80025b93d5a366bdb81c78294be9d11b96c1b71434f	Iterative search to convergence, and the drift guard
ed	5	completeness	ExtDataFig5a_completeness	pdf			results/census_v3/figures/jackhmmer_convergence.pdf	figures/ExtDataFig5a_completeness.pdf	20637	f9d17d234e5399b5ab5ef84cf35e20dc867c64ef544f56e8d8f5ab8d7950a861	Iterative search to convergence, and the drift guard
ed	5	completeness	ExtDataFig5b_completeness	png	6.515	2.415	results/s20_sweep/figures/jackhmmer_s20.png	figures/ExtDataFig5b_completeness.png	220234	9aba5426c64ab8144b53bdd7fd5dfafb001fb6aa35c2bb5c3d1db0c3df59b2d4	Iterative search to convergence, and the drift guard
ed	5	completeness	ExtDataFig5b_completeness	pdf			results/s20_sweep/figures/jackhmmer_s20.pdf	figures/ExtDataFig5b_completeness.pdf	22078	560e808a3d2f673ff03277d54f6ceb7c30f1b70ecbe28b247b3f69c0c896d09e	Iterative search to convergence, and the drift guard
ed	5	completeness	ExtDataFig5c_completeness	png	6.988	2.315	results/methods/figures/fig_s19_drift.png	figures/ExtDataFig5c_completeness.png	257010	8022bee3bb0832305084e0301912ec40e0abf805847d8341179f206ab2061c2e	Iterative search to convergence, and the drift guard
ed	5	completeness	ExtDataFig5c_completeness	pdf			results/methods/figures/fig_s19_drift.pdf	figures/ExtDataFig5c_completeness.pdf	22576	fd192ef9321c9e7b7eea487d0610f0c1fa4538609b3052997a606eb6686e312b	Iterative search to convergence, and the drift guard
ed	6	separation_outside	ExtDataFig6_separation_outside	png	4.853	4.205	results/s20_sweep/figures/profile_separation.png	figures/ExtDataFig6_separation_outside.png	365032	81e2687fef34cffaa8904e65166592e875a8478d4382b10e98c7f1ff63b99813	Profile separation outside the vertebrates
ed	6	separation_outside	ExtDataFig6_separation_outside	pdf			results/s20_sweep/figures/profile_separation.pdf	figures/ExtDataFig6_separation_outside.pdf	249905	350c2e3e11123f711a9b95e872797ee7e0297099b55f4044ff87d25272ddc4f7	Profile separation outside the vertebrates
ed	7	genome_instrument	ExtDataFig7a_genome_instrument	png	6.525	2.483	results/s23_scope/figures/identity_floor.png	figures/ExtDataFig7a_genome_instrument.png	189752	e123789d67552e49478e6c283f3db06f664c84cf67c15d00cc38894690310501	The genomic sweep's locus floor and span
ed	7	genome_instrument	ExtDataFig7a_genome_instrument	pdf			results/s23_scope/figures/identity_floor.pdf	figures/ExtDataFig7a_genome_instrument.pdf	20683	2c29f6ec8d9f0fa6183550ad9cec5cc79622b954c118f56ad2e8a427dd5b59bb	The genomic sweep's locus floor and span
ed	7	genome_instrument	ExtDataFig7b_genome_instrument	png	6.490	2.415	results/s23_scope/figures/span_inflation.png	figures/ExtDataFig7b_genome_instrument.png	128872	0b56e7ef27676c1c315e6029e2962d206cfeee74b76167011a04af20b287e313	The genomic sweep's locus floor and span
ed	7	genome_instrument	ExtDataFig7b_genome_instrument	pdf			results/s23_scope/figures/span_inflation.pdf	figures/ExtDataFig7b_genome_instrument.pdf	13040	1bf1be6885a1d2b550e2571cf006ef31e3cde3e47562ee742703b8667e8dc03d	The genomic sweep's locus floor and span
ed	9	structures	ExtDataFig9a_structures	png	6.643	4.475	results/structures/figures/s11_panel.png	figures/ExtDataFig9a_structures.png	277402	575b5786edf2b396d223c0dab952c019cd95b34a57a4286947bc24e9c198b61c	The structure panel and model confidence
ed	9	structures	ExtDataFig9a_structures	pdf			results/structures/figures/s11_panel.pdf	figures/ExtDataFig9a_structures.pdf	17619	14f1c905027e1931c5279dbad9538a7b9b255ccc95989daa4e5c0476ee071f66	The structure panel and model confidence
ed	9	structures	ExtDataFig9b_structures	png	5.595	2.663	results/structures/figures/s11_plddt_domains.png	figures/ExtDataFig9b_structures.png	144717	c659731eabaddbfb3912796ffb4820bd32010681262eb676dd17ff519d27b078	The structure panel and model confidence
ed	9	structures	ExtDataFig9b_structures	pdf			results/structures/figures/s11_plddt_domains.pdf	figures/ExtDataFig9b_structures.pdf	23881	fd35fd286c3ec1ef57dd9b09b1f5e5cdebe7c65e9763385d86b50087b841e994	The structure panel and model confidence
ed	8	afdb	ExtDataFig8_afdb	png	6.863	3.688	results/structures/figures/s11_afdb_coverage.png	figures/ExtDataFig8_afdb.png	191015	f7402171e709b6b8743ca8df31c97c25efcd0a493d94ecba05b77808971a46b9	AlphaFold DB coverage of the census
ed	8	afdb	ExtDataFig8_afdb	pdf			results/structures/figures/s11_afdb_coverage.pdf	figures/ExtDataFig8_afdb.pdf	18442	98ef1ac264d62663e9c0ec35f8c0a20902604f9352cdf8e8e714fd0e23903076	AlphaFold DB coverage of the census
