species	organism	run	tissue	tissue_evidence	tissue_from	study	study_title	sample	layout	model	spots	read_len	selection
dmawsoni	Dissostichus mawsoni	SRR6794067	intestine	tissue=Stomach	attribute	SRP133712	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie	SRS20607236	PAIRED	Illumina HiSeq 1500	18596244	218	cDNA
dmawsoni	Dissostichus mawsoni	SRR2895151	unknown		none	SRP065791	Comparative Study Revealed Nucleotide and Amino Acid Preference in Polar Fishes	SRS1092701	PAIRED	Illumina HiSeq 1500	8511049	218	cDNA
dmawsoni	Dissostichus mawsoni	SRR6794071	kidney	tissue=caudal kidney	attribute	SRP133712	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie	SRS20607231	PAIRED	Illumina HiSeq 1500	15365453	218	cDNA
dmawsoni	Dissostichus mawsoni	SRR6794064	muscle	tissue=White muscle	attribute	SRP133712	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie	SRS20607240	PAIRED	Illumina HiSeq 1500	12810566	218	cDNA
dmawsoni	Dissostichus mawsoni	SRR6794065	unknown		none	SRP133712	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie	SRS20607242	PAIRED	Illumina HiSeq 1500	11869689	218	cDNA
dmawsoni	Dissostichus mawsoni	SRR2895149	unknown		none	SRP065791	Comparative Study Revealed Nucleotide and Amino Acid Preference in Polar Fishes	SRS1092701	PAIRED	Illumina HiSeq 1500	8297286	218	cDNA
dmawsoni	Dissostichus mawsoni	SRR2895150	unknown		none	SRP065791	Comparative Study Revealed Nucleotide and Amino Acid Preference in Polar Fishes	SRS1092701	PAIRED	Illumina HiSeq 1500	6383311	218	cDNA
dmawsoni	Dissostichus mawsoni	SRR2895152	unknown		none	SRP065791	Comparative Study Revealed Nucleotide and Amino Acid Preference in Polar Fishes	SRS1092701	PAIRED	Illumina HiSeq 1500	6083547	218	cDNA
nalbiflora	Nibea albiflora	SRR23874471	muscle	tissue=muscle	attribute	SRP427558	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif	SRS17055811	PAIRED	Illumina HiSeq 2500	23631753	300	RANDOM
nalbiflora	Nibea albiflora	SRR13438377	liver	tissue=Liver and Muscles	attribute	SRP301796	Nibea albiflora transcriptome	SRS8033384	PAIRED	Illumina NovaSeq 6000	25626625	300	cDNA
nalbiflora	Nibea albiflora	SRR10432572	liver	tissue=Liver	attribute	SRP229570	yellow drum liver transcriptome under cold and starvation stresses	SRS5638038	PAIRED	Illumina HiSeq 2500	23420629	286	RANDOM
nalbiflora	Nibea albiflora	SRR31671671	kidney	experiment_title=Kidney cells of Nibea albiflora RNA-seq	title	SRP550664	Kidney cells of Nibea albiflora	SRS23497501	PAIRED	HiSeq X Ten	25332573	300	PolyA
nalbiflora	Nibea albiflora	SRR5264436	kidney	tissue=Brain, heart, liver, kidney, muscle, head kidney, skin, fin,	attribute	SRP100099	Nibea albiflora Raw sequence reads	SRS1984875	PAIRED	Illumina HiSeq 2500	17666357	250	RANDOM
nalbiflora	Nibea albiflora	SRR30102558	testis	sample_title=testis transcriptome sequencing of yellow drum	title	SRP523746	testis transcriptome sequencing of yellow drum	SRS22227727	PAIRED	Illumina NovaSeq 6000	37934420	300	PolyA
nalbiflora	Nibea albiflora	SRR14816996	gill	tissue=gill	attribute	SRP324122	Nibea albiflora transcriptome	SRS9210793	PAIRED	Illumina NovaSeq 6000	24668926	300	cDNA
nalbiflora	Nibea albiflora	SRR19629394	spleen	tissue=spleen	attribute	SRP379675	Transcriptome sequencing data of Nibea albiflora	SRS13377991	PAIRED	Illumina NovaSeq 6000	25893323	300	cDNA
nalbiflora	Nibea albiflora	SRR30102585	testis	sample_title=testis transcriptome sequencing of yellow drum	title	SRP523746	testis transcriptome sequencing of yellow drum	SRS22227700	PAIRED	Illumina NovaSeq 6000	59484056	300	PolyA
nalbiflora	Nibea albiflora	SRR18366592	unknown		none	SRP364837	Gonad transcriptome data of yellow drum at early stage	SRS12299277	PAIRED	Illumina NovaSeq 6000	44403640	300	Oligo-dT
nalbiflora	Nibea albiflora	SRR1016446	unknown		none	SRP031903	Nibea albiflora Transcriptome or Gene expression	SRS493656	PAIRED	Illumina HiSeq 2000	40609132	200	cDNA
nalbiflora	Nibea albiflora	SRR9670494	unknown		none	SRP214218	Effects of Dietary n-3 Long Chain Polyunsaturated Fatty Acids (n-3 LC-PUFA) on Growth Performance, Body Composition and Adipose Tissue Transcriptome Analysis of	SRS5085872	PAIRED	Illumina HiSeq 2500	29020276	300	other
nalbiflora	Nibea albiflora	SRR14816997	gill	tissue=gill	attribute	SRP324122	Nibea albiflora transcriptome	SRS9210792	PAIRED	Illumina NovaSeq 6000	26794595	300	cDNA
nalbiflora	Nibea albiflora	SRR19629402	spleen	tissue=spleen	attribute	SRP379675	Transcriptome sequencing data of Nibea albiflora	SRS13377983	PAIRED	Illumina NovaSeq 6000	26306822	300	cDNA
nalbiflora	Nibea albiflora	SRR13438386	liver	tissue=Liver and Muscles	attribute	SRP301796	Nibea albiflora transcriptome	SRS8033375	PAIRED	Illumina NovaSeq 6000	25729409	300	cDNA
nalbiflora	Nibea albiflora	SRR31671676	kidney	experiment_title=Kidney cells of Nibea albiflora RNA-seq	title	SRP550664	Kidney cells of Nibea albiflora	SRS23497496	PAIRED	HiSeq X Ten	25188479	300	PolyA
nalbiflora	Nibea albiflora	SRR23874480	muscle	tissue=muscle	attribute	SRP427558	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif	SRS17055801	PAIRED	Illumina HiSeq 2500	24505327	300	RANDOM
