species	organism	query	run	study	sample	strategy	source	selection	layout	platform	model	spots	bases	read_len	tissue_called	tissue_evidence	verdict	study_title
dmawsoni	Dissostichus mawsoni	muscle	SRR6794064	SRP133712	SRS20607240	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	12810566	2792703388	218	muscle	tissue=White muscle	keep	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie
dmawsoni	Dissostichus mawsoni	skin	SRR6794066	SRP133712	SRS20607238	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	11286647	2460489046	218	skin	tissue=Skin	keep	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie
dmawsoni	Dissostichus mawsoni	liver	SRR6794061	SRP133712	SRS20607237	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	16644938	3628596484	218	liver	tissue=Liver	keep	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie
dmawsoni	Dissostichus mawsoni	kidney	SRR6794059	SRP133712	SRS20607232	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	15639916	3409501688	218	kidney	tissue=Head kidney	keep	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie
dmawsoni	Dissostichus mawsoni	kidney	SRR6794071	SRP133712	SRS20607231	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	15365453	3349668754	218	kidney	tissue=caudal kidney	keep	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie
dmawsoni	Dissostichus mawsoni	intestine	SRR6794068	SRP133712	SRS20607233	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	13532039	2949984502	218	intestine	tissue=Small intestine	keep	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie
dmawsoni	Dissostichus mawsoni	ovary	SRR6794069	SRP133712	SRS20607230	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	10826931	2360270958	218	ovary	tissue=Ovary	keep	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie
dmawsoni	Dissostichus mawsoni	gill	SRR6794062	SRP133712	SRS20607235	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	13225737	2883210666	218	gill	tissue=Gill	keep	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie
dmawsoni	Dissostichus mawsoni	spleen	SRR6794070	SRP133712	SRS20607234	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	11579054	2524233772	218	spleen	tissue=spleen	keep	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie
dmawsoni	Dissostichus mawsoni	base	SRR6794064	SRP133712	SRS20607240	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	12810566	2792703388	218	muscle	tissue=White muscle	keep	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie
