taxid	scientific_name	rank	group	domain	kingdom	phylum	class	order	family	genus	clade	clade_from	lineage
1698280	candidate division MSBL1 archaeon SCGC-AAA382A20	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota					Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Methanobacteriota incertae sedis; candidate division MSBL1
1698281	candidate division MSBL1 archaeon SCGC-AAA382C18	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota					Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Methanobacteriota incertae sedis; candidate division MSBL1
1698282	candidate division MSBL1 archaeon SCGC-AAA382F02	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota					Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Methanobacteriota incertae sedis; candidate division MSBL1
1698283	candidate division MSBL1 archaeon SCGC-AAA382K21	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota					Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Methanobacteriota incertae sedis; candidate division MSBL1
1698284	candidate division MSBL1 archaeon SCGC-AAA382M17	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota					Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Methanobacteriota incertae sedis; candidate division MSBL1
1698285	candidate division MSBL1 archaeon SCGC-AAA382N08	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota					Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Methanobacteriota incertae sedis; candidate division MSBL1
1698286	candidate division MSBL1 archaeon SCGC-AAA385D11	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota					Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Methanobacteriota incertae sedis; candidate division MSBL1
1698287	candidate division MSBL1 archaeon SCGC-AAA385M02	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota					Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Methanobacteriota incertae sedis; candidate division MSBL1
1698799	Marinobacterium aestuariivivens	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Marinobacterium
1699371	Natrinema halophilum	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrinema	Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Stenosarchaea group; Halobacteria; Halobacteriales; Natrialbaceae; Natrinema
1699413	Marivivens donghaensis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Marivivens	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; Marivivens group; Marivivens
1702097	Saccharolobus caldissimus	species	Archaea	Archaea	Thermoproteati	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	Thermoproteota	phylum	cellular organisms; Archaea; Thermoproteati; Thermoproteota; Thermoprotei; Sulfolobales; Sulfolobaceae; Saccharolobus
1702221	Faecalibaculum rodentium	species	Bacteria	Bacteria	Bacillati	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Faecalibaculum
1702242	Thermoanaerobacterium butyriciformans	species	Bacteria	Bacteria	Bacillati	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacterium	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Thermoanaerobacterium
