taxid	scientific_name	rank	group	domain	kingdom	phylum	class	order	family	genus	clade	clade_from	lineage
94	Allostella humosa	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Allostellaceae	Allostella	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Allostellaceae; Allostella
124	Blastopirellula marina	species	Bacteria	Bacteria	Pseudomonadati	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Blastopirellula	Planctomycetota	phylum	cellular organisms; Bacteria; Pseudomonadati; PVC group; Planctomycetota; Planctomycetia; Pirellulales; Pirellulaceae; Blastopirellula
150	Spirochaeta isovalerica	species	Bacteria	Bacteria	Pseudomonadati	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	Spirochaetota	phylum	cellular organisms; Bacteria; Pseudomonadati; Spirochaetota; Spirochaetia; Spirochaetales; Spirochaetaceae; Spirochaeta
156	Teretinema zuelzerae	species	Bacteria	Bacteria	Pseudomonadati	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Teretinema	Spirochaetota	phylum	cellular organisms; Bacteria; Pseudomonadati; Spirochaetota; Spirochaetia; Treponematales; Treponemataceae; Teretinema
189	Novispirillum itersonii	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Novispirillaceae	Novispirillum	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Novispirillaceae; Novispirillum
256	Myroides odoratus	species	Bacteria	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides	Bacteroidota	phylum	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Myroides
297	Hydrogenophilus thermoluteolus	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Hydrogenophilia	Hydrogenophilales	Hydrogenophilaceae	Hydrogenophilus	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Hydrogenophilia; Hydrogenophilales; Hydrogenophilaceae; Hydrogenophilus
373	Gillisella vitis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Gillisella	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Gillisella
375	Bradyrhizobium japonicum	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae; Bradyrhizobium
414	Methylococcus capsulatus	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylococcus
463	Fluoribacter dumoffii	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Fluoribacter	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Legionellales; Legionellaceae; Fluoribacter
476	Moraxella bovis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Moraxella
494	Bergeriella denitrificans	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Bergeriella	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Bergeriella
537	Iodobacter fluviatilis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Chitinibacteraceae	Iodobacter	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Neisseriales; Chitinibacteraceae; Iodobacter
549	Enterobacter agglomerans	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea; Pantoea agglomerans group
574	Klebsiella pneumoniae subsp. ozaenae	subspecies	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella; Klebsiella pneumoniae complex; Klebsiella pneumoniae
580	Kluyvera cryocrescens	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Kluyvera
585	Proteus vulgaris	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus
587	Providencia rettgeri	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia
615	Serratia marcescens	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia
638	Arsenophonus nasoniae	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Arsenophonus
648	Aeromonas caviae	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas
714	Aggregatibacter actinomycetemcomitans	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Aggregatibacter
728	Avibacterium paragallinarum	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Avibacterium	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Avibacterium
731	Histophilus somni	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Histophilus	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Histophilus
733	Canicola haemoglobinophilus	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Canicola	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Canicola
750	Gallibacterium anatis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Gallibacterium	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Gallibacterium
757	[Pasteurella] mairii	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae		Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurellaceae incertae sedis; [Pasteurella] aerogenes-[Pasteurella] mairii-[Actinobacillus] rossii complex
823	Parabacteroides distasonis	species	Bacteria	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Bacteroidota	phylum	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides
867	Ruminobacter amylophilus	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Ruminobacter	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Aeromonadales; Succinivibrionaceae; Ruminobacter
955	Wolbachia pipientis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rickettsiales; Anaplasmataceae; Wolbachieae; Wolbachia
959	Bdellovibrio bacteriovorus	species	Bacteria	Bacteria	Pseudomonadati	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrionota	phylum	cellular organisms; Bacteria; Pseudomonadati; Bdellovibrionota; Bdellovibrionia; Bdellovibrionales; Pseudobdellovibrionaceae; Bdellovibrio
981	Persicobacter diffluens	species	Bacteria	Bacteria	Pseudomonadati	Bacteroidota	Cytophagia	Cytophagales	Persicobacteraceae	Persicobacter	Bacteroidota	phylum	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Persicobacteraceae; Persicobacter
989	Marinilabilia salmonicolor	species	Bacteria	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Marinilabiliales	Marinilabiliaceae	Marinilabilia	Bacteroidota	phylum	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Marinilabiliales; Marinilabiliaceae; Marinilabilia
990	Breznakibacter xylanolyticus	species	Bacteria	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Marinilabiliales	Marinilabiliaceae	Breznakibacter	Bacteroidota	phylum	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Marinilabiliales; Marinilabiliaceae; Breznakibacter
1003	Thermoflexibacter ruber	species	Bacteria	Bacteria	Pseudomonadati	Bacteroidota	Cytophagia	Cytophagales	Thermoflexibacteraceae	Thermoflexibacter	Bacteroidota	phylum	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Thermoflexibacteraceae; Thermoflexibacter
1052	Halorhodospira halochloris	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Halorhodospira	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Halorhodospira
1054	Ectothiorhodospira shaposhnikovii	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Ectothiorhodospira	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Ectothiorhodospira
1066	Rhodocyclus tenuis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Rhodocyclus	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Rhodocyclus
1071	Rhodopila globiformis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodopila	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Rhodopila
1088	Rhodovibrio sodomensis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodovibrionaceae	Rhodovibrio	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Rhodovibrionaceae; Rhodovibrio
1231	Nitrosospira multiformis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosospira
1233	Nitrosovibrio tenuis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosovibrio	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Nitrosomonadales; Nitrosomonadaceae; Nitrosovibrio
1238	Piscirickettsia salmonis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae; Piscirickettsia
1267	Sarcina ventriculi	species	Bacteria	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Sarcina	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Sarcina
1296	Mammaliicoccus sciuri	species	Bacteria	Bacteria	Bacillati	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Mammaliicoccus	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Caryophanales; Staphylococcaceae; Mammaliicoccus
1323	Faecalicoccus pleomorphus	species	Bacteria	Bacteria	Bacillati	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalicoccus	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Faecalicoccus
1364	Pseudolactococcus piscium	species	Bacteria	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Pseudolactococcus	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Pseudolactococcus
1371	Marinococcus halophilus	species	Bacteria	Bacteria	Bacillati	Bacillota	Bacilli	Caryophanales	Bacillaceae	Marinococcus	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Caryophanales; Bacillaceae; Marinococcus
1379	Gemella haemolysans	species	Bacteria	Bacteria	Bacillati	Bacillota	Bacilli	Caryophanales	Gemellaceae	Gemella	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Caryophanales; Gemellaceae; Gemella
1383	Lancefieldella rimae	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Coriobacteriales; Atopobiaceae; Lancefieldella
1455	Pseudobacillus badius	species	Bacteria	Bacteria	Bacillati	Bacillota	Bacilli	Caryophanales	Bacillaceae	Pseudobacillus	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Caryophanales; Bacillaceae; Pseudobacillus
1459	Sporosarcina globispora	species	Bacteria	Bacteria	Bacillati	Bacillota	Bacilli	Caryophanales	Caryophanaceae	Sporosarcina	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Caryophanales; Caryophanaceae; Sporosarcina
1478	Peribacillus simplex	species	Bacteria	Bacteria	Bacillati	Bacillota	Bacilli	Caryophanales	Bacillaceae	Peribacillus	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Caryophanales; Bacillaceae; Peribacillus
1484	Hydrogenibacillus schlegelii	species	Bacteria	Bacteria	Bacillati	Bacillota	Bacilli	Caryophanales	Caryophanales Family X. Incertae Sedis	Hydrogenibacillus	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Caryophanales; Caryophanales incertae sedis; Caryophanales Family X. Incertae Sedis; Hydrogenibacillus
1497	Andreesenella formicacetica	species	Bacteria	Bacteria	Bacillati	Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	Andreesenella	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Peptostreptococcales; Natronincolaceae; Andreesenella
1503	Gottschalkia purinilytica	species	Bacteria	Bacteria	Bacillati	Bacillota	Tissierellia	Tissierellales	Gottschalkiaceae	Gottschalkia	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Tissierellia; Tissierellales; Gottschalkiaceae; Gottschalkia
1505	Paraclostridium sordellii	species	Bacteria	Bacteria	Bacillati	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Peptostreptococcales; Peptostreptococcaceae; Paraclostridium
1536	Hathewaya limosa	species	Bacteria	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Hathewaya	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Hathewaya
1540	Metaclostridioides mangenotii	species	Bacteria	Bacteria	Bacillati	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Metaclostridioides	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Peptostreptococcales; Peptostreptococcaceae; Metaclostridioides
1544	Faecalicatena orotica	species	Bacteria	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Faecalicatena	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Faecalicatena
1589	Lactiplantibacillus pentosus	species	Bacteria	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Lactiplantibacillus
1657	Actinobaculum suis	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinobaculum	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinobaculum
1661	Trueperella pyogenes	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Trueperella
1748	Acidipropionibacterium acidipropionici	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Acidipropionibacterium
1750	Arachnia propionica	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Arachnia	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Arachnia
1753	Propioniferax innocua	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Propioniferax	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae; Propioniferax
1863	Dermatophilus congolensis	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micrococcales	Dermatophilaceae	Dermatophilus	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micrococcales; Dermatophilaceae; Dermatophilus
1992	Thermomonospora echinospora	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Thermomonospora	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Streptosporangiales; Thermomonosporaceae; Thermomonospora
1994	Actinomadura rugatobispora	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Streptosporangiales; Thermomonosporaceae; Actinomadura
1997	Microtetraspora fusca	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Microtetraspora	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Streptosporangiales; Streptosporangiaceae; Microtetraspora
1999	Thiemannella venezuelensis	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Thiemannella	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Streptosporangiales; Streptosporangiaceae; Thiemannella
2017	Streptoalloteichus hindustanus	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Streptoalloteichus	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Pseudonocardiales; Pseudonocardiaceae; Streptoalloteichus
2061	Tsukamurella paurometabola	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Tsukamurellaceae	Tsukamurella	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Tsukamurellaceae; Tsukamurella
2088	Anaeroplasma bactoclasticum	species	Bacteria	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma	Mycoplasmatota	phylum	cellular organisms; Bacteria; Bacillati; Mycoplasmatota; Mollicutes; Anaeroplasmatales; Anaeroplasmataceae; Anaeroplasma
2114	Entomoplasma ellychniae	species	Bacteria	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Entomoplasma	Mycoplasmatota	phylum	cellular organisms; Bacteria; Bacillati; Mycoplasmatota; Mollicutes; Entomoplasmatales; Entomoplasmataceae; Entomoplasma
2120	Mesomycoplasma neurolyticum	species	Bacteria	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Mesomycoplasma	Mycoplasmatota	phylum	cellular organisms; Bacteria; Bacillati; Mycoplasmatota; Mycoplasmoidales; Metamycoplasmataceae; Mesomycoplasma
2125	Metamycoplasma sualvi	species	Bacteria	Bacteria	Bacillati	Mycoplasmatota		Mycoplasmoidales	Metamycoplasmataceae	Metamycoplasma	Mycoplasmatota	phylum	cellular organisms; Bacteria; Bacillati; Mycoplasmatota; Mycoplasmoidales; Metamycoplasmataceae; Metamycoplasma
2141	Spiroplasma ixodetis	species	Bacteria	Bacteria	Bacillati	Mycoplasmatota	Mollicutes	Entomoplasmatales	Spiroplasmataceae	Spiroplasma	Mycoplasmatota	phylum	cellular organisms; Bacteria; Bacillati; Mycoplasmatota; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma
2161	Methanobacterium bryantii	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Methanomada group; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium
2162	Methanobacterium formicicum	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Methanomada group; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium
2177	Methanohalophilus halophilus	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanohalophilus
2193	Methanocorpusculum parvum	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Stenosarchaea group; Methanomicrobia; Methanomicrobiales; Methanocorpusculaceae; Methanocorpusculum
2199	Methanogenium organophilum	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanogenium	Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Stenosarchaea group; Methanomicrobia; Methanomicrobiales; Methanomicrobiaceae; Methanogenium
2200	Methanoculleus thermophilus	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Stenosarchaea group; Methanomicrobia; Methanomicrobiales; Methanomicrobiaceae; Methanoculleus
2209	Methanosarcina mazei	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina
