upid	organism	taxid	group	protein_count	n_itpr	n_ryr	n_unassigned	best_itpr_score	best_itpr_evalue	best_itpr_acc	itpr_status
UP000008144	Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)	7719	metazoa_nonvert	17311	2	1	14	2381.0	0	F6YKH7	present
UP000008237	Harpegnathos saltator (Jerdon's jumping ant)	610380	metazoa_nonvert	15029	1	1	6	3495.9	0	E2C6L2	present
UP000008281	Caenorhabditis remanei (Caenorhabditis vulgaris)	31234	metazoa_nonvert	31252	2	1	13	2934.3	0	E3M7H8	present
UP000008711	Drosophila erecta (Fruit fly)	7220	metazoa_nonvert	17348	1	1	6	3753.9	0	B3P2E7	present
UP000008744	Drosophila persimilis (Fruit fly)	7234	metazoa_nonvert	16754	2	2	9	2709.2	0	B4GF82	present
UP000008792	Drosophila virilis (Fruit fly)	7244	metazoa_nonvert	18316	1	1	10	3713.9	0	A0A0Q9WQK8	present
UP000008820	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	7159	metazoa_nonvert	20643	1	1	10	3621.0	0	A0A6I8U9W2	present
UP000008854	Schistosoma mansoni (Blood fluke)	6183	metazoa_nonvert	10771	1	2	9	1478.3	0	A0A5K4FB58	present
UP000008909	Clonorchis sinensis (Chinese liver fluke)	79923	metazoa_nonvert	13606	1	1	10	1727.2	0	G7Y5H5	present
UP000009022	Trichoplax adhaerens (Trichoplax reptans)	10228	metazoa_nonvert	11520	3	1	5	3381.3	0	B3RXX7	present
UP000009046	Pediculus humanus subsp. corporis (Body louse)	121224	metazoa_nonvert	10776	1	1	10	3718.8	0	E0VHU9	present
UP000009192	Drosophila mojavensis (Fruit fly)	7230	metazoa_nonvert	18165	1	1	10	3730.5	0	B4KD89	present
UP000014500	Strigamia maritima (European centipede) (Geophilus maritimus)	126957	metazoa_nonvert	14972	1	2	8	3823.9	0	T1IW96	present
UP000014760	Capitella teleta (Polychaete worm)	283909	metazoa_nonvert	31857	8	2	40	3920.6	0	R7TPX0	present
