upid	organism	taxid	group	protein_count	n_itpr	n_ryr	n_unassigned	best_itpr_score	best_itpr_evalue	best_itpr_acc	itpr_status
UP000192927	Lasallia pustulata	136370	fungi	8267	0	0	1				absent
UP000193067	Trametes coccinea (strain BRFM310) (Pycnoporus coccineus)	1353009	fungi	12648	0	0	1				absent
UP000193144	Clohesyomyces aquaticus	1231657	fungi	15806	0	0	2				absent
UP000193218	Kockovaella imperatae	4999	fungi	7388	0	0	2				absent
UP000193240	Epicoccum nigrum (Soil fungus) (Epicoccum purpurascens)	105696	fungi	12021	0	0	2				absent
UP000193411	Catenaria anguillulae PL171	765915	fungi	12599	0	0	2				absent
UP000193467	Leucosporidium creatinivorum	106004	fungi	9828	0	0	1				absent
UP000193498	Basidiobolus meristosporus CBS 931.73	1314790	fungi	15513	2	1	15	1889.0	0	A0A1Y1XHY3	present
UP000193560	Absidia repens	90262	fungi	14767	1	0	16	1263.7	0	A0A1X2IXV9	present
UP000193642	Rhizoclosmatium globosum	329046	fungi	16725	1	0	5	1361.5	0	A0A1Y2B255	present
UP000193648	Lobosporangium transversale	64571	fungi	11597	0	0	6				absent
UP000193685	Protomyces lactucae-debilis	2754530	fungi	6702	0	0	2				absent
UP000193689	Pseudomassariella vexata	1141098	fungi	12557	0	0	2				absent
UP000193719	Piromyces finnis	1754191	fungi	10787	0	0	4				absent
UP000193922	Linderina pennispora	61395	fungi	9274	0	0	3				absent
UP000193944	Anaeromyces robustus	1754192	fungi	12666	0	0	4				absent
UP000193986	Naematelia encephala	71784	fungi	7963	0	0	2				absent
UP000194127	Postia placenta MAD-698-R-SB12	670580	fungi	12517	0	0	1				absent
UP000194280	Hortaea werneckii EXF-2000	1157616	fungi	15464	0	0	2				absent
UP000196158	Maudiozyma saulgeensis	1789683	fungi	5290	0	0	1				absent
UP000198372	Microbotryum intermedium	269621	fungi	8013	0	0	1				absent
UP000199069	Rhodotorula toruloides (Yeast) (Rhodosporidium toruloides)	5286	fungi	7496	0	0	1				absent
UP000214365	Talaromyces atroroseus	1441469	fungi	9520	0	0	1				absent
UP000215127	Zymoseptoria tritici (strain ST99CH_3D7)	1276538	fungi	11722	0	0	1				absent
UP000215289	Aspergillus turcosus	1245748	fungi	9174	0	0	1				absent
UP000215305	Aspergillus thermomutatus (Neosartorya pseudofischeri)	41047	fungi	9702	0	0	1				absent
UP000217790	Armillaria gallica (Bulbous honey fungus) (Armillaria bulbosa)	47427	fungi	25522	0	0	2				absent
UP000218334	Armillaria solidipes	1076256	fungi	20715	0	0	3				absent
UP000218811	Wolfiporia cocos (strain MD-104) (Brown rot fungus)	742152	fungi	12196	0	0	1				absent
UP000219286	Trichoderma parareesei (Filamentous fungus)	858221	fungi	9061	0	0	2				absent
UP000219338	Armillaria ostoyae (Armillaria root rot fungus)	47428	fungi	22192	0	0	2				absent
UP000222788	Ceratocystis fimbriata CBS 114723	1035309	fungi	7264	0	0	1				absent
UP000223968	Helicocarpus griseus UAMH5409	1447875	fungi	10216	0	0	1				absent
UP000224080	Blastomyces parvus	2060905	fungi	8197	0	0	1				absent
UP000224634	Polytolypa hystricis (strain UAMH7299)	1447883	fungi	9934	0	0	1				absent
UP000224854	Ophiocordyceps australis	1399860	fungi	7986	0	0	1				absent
UP000225277	Ramularia collo-cygni	112498	fungi	11621	0	0	2				absent
UP000226031	[Emmonsia] crescens	73230	fungi	8899	0	0	1				absent
UP000226192	Ophiocordyceps australis	1399860	fungi	8168	0	0	1				absent
UP000226431	Ophiocordyceps camponoti-rufipedis	2004952	fungi	7618	0	0	2				absent
UP000230002	Ganoderma sinense ZZ0214-1	1077348	fungi	15394	0	0	1				absent
UP000230249	Candidozyma auris (Yeast) (Candida auris)	498019	fungi	5433	0	0	1				absent
UP000231358	Aspergillus arachidicola	656916	fungi	12090	0	0	1				absent
UP000232875	Malassezia vespertilionis	2020962	fungi	3791	0	0	1				absent
UP000233524	Lomentospora prolificans	41688	fungi	8533	0	0	1				absent
UP000234254	Aspergillus campestris (strain IBT 28561)	1392248	fungi	9702	0	0	1				absent
UP000234275	Aspergillus steynii IBT 23096	1392250	fungi	12965	0	0	2				absent
UP000234474	Aspergillus novofumigatus (strain IBT 16806)	1392255	fungi	11480	0	0	1				absent
UP000234585	Aspergillus candidus	41067	fungi	9639	0	0	1				absent
UP000235023	Aspergillus taichungensis	482145	fungi	9689	0	0	1				absent
UP000235371	Hyaloscypha bicolor E	1095630	fungi	18616	0	0	2				absent
UP000235388	Puccinia coronata f. sp. avenae	200324	fungi	25533	0	0	1				absent
UP000235672	Hyaloscypha hepaticicola	2082293	fungi	16778	0	0	3				absent
UP000235786	Hyaloscypha variabilis (strain UAMH 11265 / GT02V1 / F) (Meliniomyces variabilis)	1149755	fungi	20347	0	0	2				absent
UP000236544	Lachancea quebecensis	1654605	fungi	5071	0	0	0				absent
UP000236621	Tolypocladium capitatum	45235	fungi	7634	0	0	2				absent
UP000236664	Gibberella nygamai (Bean root rot disease fungus) (Fusarium nygamai)	42673	fungi	16018	0	0	2				absent
UP000237144	Rhodotorula taiwanensis	741276	fungi	7012	0	0	1				absent
UP000237438	Erysiphe pulchra	225359	fungi	6853	0	0	1				absent
UP000237481	Tolypocladium paradoxum	94208	fungi	8979	0	0	2				absent
UP000237631	Cercospora berteroae	357750	fungi	11903	0	0	3				absent
UP000238274	Puccinia striiformis	27350	fungi	14536	0	0	1				absent
UP000238350	Wickerhamiella sorbophila	45607	fungi	4707	0	0	1				absent
UP000239156	Puccinia striiformis	27350	fungi	14992	0	0	0				absent
UP000240493	Trichoderma asperellum (strain ATCC 204424 / CBS 433.97 / NBRC 101777)	1042311	fungi	12547	0	0	1				absent
UP000240760	Trichoderma longibrachiatum ATCC 18648	983965	fungi	10930	0	0	2				absent
UP000240830	Paramicrosporidium saccamoebae	1246581	fungi	3754	0	0	1				absent
UP000240883	Corynespora cassiicola Philippines	1448308	fungi	17125	0	0	2				absent
UP000241107	Candidozyma pseudohaemuli	418784	fungi	5132	0	0	1				absent
UP000241462	Coniella lustricola	2025994	fungi	11309	0	0	1				absent
UP000241546	Trichoderma citrinoviride	58853	fungi	9735	0	0	2				absent
UP000241587	Fusarium culmorum	5516	fungi	12360	0	0	2				absent
UP000241690	Trichoderma harzianum (strain CBS 226.95 / KCTC 16976) (Green mold) (Hypocrea lixii)	983964	fungi	14049	0	0	3				absent
UP000241818	Amorphotheca resinae ATCC 22711	857342	fungi	9640	0	0	3				absent
UP000242146	Hesseltinella vesiculosa	101127	fungi	11058	1	0	9	1217.1	0	A0A1X2G6S3	present
UP000242180	Syncephalastrum racemosum (Filamentous fungus)	13706	fungi	11037	0	1	10				absent
UP000242254	Rhizopus microsporus ATCC 52813	1340429	fungi	10804	0	0	11				absent
UP000242287	Amanita thiersii Skay4041	703135	fungi	10343	0	0	2				absent
UP000242474	Coemansia reversa (strain ATCC 12441 / NRRL 1564)	763665	fungi	7317	0	0	4				absent
UP000242519	Diplocarpon coronariae	2795749	fungi	9355	0	0	3				absent
UP000242525	Geotrichum candidum (Oospora lactis) (Dipodascus geotrichum)	1173061	fungi	6774	0	0	2				absent
UP000242770	Sporisorium scitamineum	49012	fungi	7711	0	0	1				absent
UP000242791	Blastomyces percursus	1658174	fungi	10283	0	0	1				absent
UP000242875	Bifiguratus adelaidae	1938954	fungi	5718	0	0	4				absent
UP000242877	Ascosphaera apis ARSEF 7405	392613	fungi	6442	0	0	2				absent
UP000243052	Eremothecium sinecaudum	45286	fungi	4524	0	0	0				absent
UP000243081	Cordyceps confragosa (Lecanicillium lecanii)	2714763	fungi	8125	0	0	1				absent
UP000243308	Podila verticillata NRRL 6337	1069443	fungi	1514	0	0	1				absent
UP000243498	Metarhizium rileyi (Nomuraea rileyi)	1649241	fungi	8763	0	0	2				absent
UP000243515	Elaphomyces granulatus	519963	fungi	7169	0	0	0				absent
UP000243519	Trichophyton violaceum	34388	fungi	7035	0	0	2				absent
UP000243723	Elsinoe australis	40998	fungi	9222	0	0	1				absent
UP000243797	Sphaceloma murrayae	2082308	fungi	8255	0	0	1				absent
UP000243876	Sporidiobolus salmonicolor (Yeast-like fungus) (Sporobolomyces salmonicolor)	5005	fungi	4663	0	0	0				absent
UP000244309	Candidozyma haemuli	45357	fungi	5240	0	0	1				absent
UP000244406	Candidozyma duobushaemuli	1231522	fungi	5170	0	0	1				absent
UP000244722	Tuber borchii (White truffle)	42251	fungi	12324	0	0	3				absent
UP000244855	Periconia macrospinosa	97972	fungi	18722	0	0	2				absent
UP000245383	Smittium simulii	133385	fungi	6456	0	0	1				absent
UP000245591	Smittium angustum	133377	fungi	6707	0	0	2				absent
UP000245609	Smittium megazygosporum	133381	fungi	6835	0	0	2				absent
UP000245626	Violaceomyces palustris	1673888	fungi	8058	0	0	1				absent
UP000245699	Furculomyces boomerangus	61424	fungi	6645	0	0	2				absent
UP000245768	Acaromyces ingoldii	215250	fungi	8019	0	0	1				absent
UP000245771	Meira miltonrushii	1280837	fungi	7452	0	0	1				absent
UP000245783	Ceraceosorus guamensis	1522189	fungi	7822	0	0	1				absent
UP000245884	Jaminaea rosea	1569628	fungi	6858	0	0	1				absent
UP000245910	Fusarium venenatum	56646	fungi	13945	0	0	2				absent
UP000245942	Microstroma glucosiphilum	1684307	fungi	6679	0	0	1				absent
UP000245946	Tilletiopsis washingtonensis	58919	fungi	7007	0	0	1				absent
UP000246171	Aspergillus eucalypticola (strain CBS 122712 / IBT 29274)	1448314	fungi	11883	0	0	1				absent
UP000246702	Aspergillus sclerotioniger CBS 115572	1450535	fungi	12304	0	0	1				absent
UP000246740	Testicularia cyperi	1882483	fungi	7036	0	0	1				absent
UP000246991	Tuber magnatum (white Piedmont truffle)	42249	fungi	9390	0	0	2				absent
UP000247233	Aspergillus heteromorphus CBS 117.55	1448321	fungi	10837	0	0	1				absent
UP000247647	Aspergillus neoniger (strain CBS 115656)	1448310	fungi	11937	0	0	1				absent
UP000247702	Rhizophagus clarus	94130	fungi	27461	0	0	5				absent
UP000247810	Aspergillus ellipticus CBS 707.79	1448320	fungi	12861	0	0	1				absent
UP000248340	Aspergillus uvarum CBS 121591	1448315	fungi	12014	0	0	1				absent
UP000248349	Aspergillus saccharolyticus JOP 1030-1	1450539	fungi	10061	0	0	1				absent
UP000248405	Aspergillus vadensis (strain CBS 113365 / IMI 142717 / IBT 24658)	1448311	fungi	12060	0	0	1				absent
UP000248423	Aspergillus sclerotiicarbonarius (strain CBS 121057 / IBT 28362)	1448318	fungi	12562	0	0	1				absent
UP000248817	Aspergillus indologenus CBS 114.80	1450541	fungi	12161	0	0	1				absent
UP000248961	Aspergillus homomorphus (strain CBS 101889)	1450537	fungi	11360	0	0	1				absent
UP000249056	Monilinia fructigena	38457	fungi	10740	0	0	2				absent
UP000249057	Aspergillus brunneoviolaceus CBS 621.78	1450534	fungi	12073	0	0	1				absent
UP000249293	Pichia kudriavzevii (Yeast) (Issatchenkia orientalis)	4909	fungi	5146	0	0	1				absent
UP000249363	Talaromyces amestolkiae	1196081	fungi	10407	0	0	2				absent
UP000249402	Aspergillus ibericus CBS 121593	1448316	fungi	11680	0	0	1				absent
UP000249464	Microbotryum silenes-dioicae	796604	fungi	12674	0	0	1				absent
UP000249497	Aspergillus japonicus CBS 114.51	1448312	fungi	12019	0	0	1				absent
UP000249526	Aspergillus piperis CBS 112811	1448313	fungi	12061	0	0	1				absent
UP000249619	Stemphylium lycopersici (Tomato gray leaf spot disease fungus) (Thyrospora lycopersici)	183478	fungi	9079	0	0	2				absent
UP000249661	Aspergillus aculeatinus CBS 121060	1448322	fungi	12015	0	0	3				absent
UP000249723	Microbotryum saponariae	289078	fungi	10396	0	0	1				absent
UP000249748	Aspergillus costaricaensis CBS 115574	1448317	fungi	11865	0	0	1				absent
UP000249757	Pyrenophora tritici-repentis (Wheat tan spot fungus) (Drechslera tritici-repentis)	45151	fungi	13351	0	0	2				absent
UP000249789	Aspergillus fijiensis CBS 313.89	1448319	fungi	12018	0	0	1				absent
UP000249829	Aspergillus violaceofuscus (strain CBS 115571)	1450538	fungi	12074	0	0	1				absent
UP000250043	Obba rivulosa	1052685	fungi	13191	0	0	1				absent
UP000250078	Cenococcum geophilum 1.58	794803	fungi	1910	0	0	0				absent
UP000250140	Glonium stellatum	574774	fungi	14277	0	0	2				absent
UP000250266	Lepidopterella palustris CBS 459.81	1314670	fungi	13861	0	0	1				absent
UP000252139	Rhizopus azygosporus (Rhizopus microsporus var. azygosporus)	86630	fungi	15771	0	1	13				absent
UP000253153	Fusarium coffeatum	231269	fungi	11778	0	0	2				absent
UP000253472	Candida viswanathii	5486	fungi	10576	0	0	0				absent
UP000253551	Rhizopus stolonifer (Rhizopus nigricans)	4846	fungi	13951	1	0	10	447.9	5.5e-131	A0A367KEP6	present
UP000253664	Ophiocordyceps polyrhachis-furcata BCC 54312	1330021	fungi	10104	0	0	1				absent
UP000253729	Aspergillus welwitschiae	1341132	fungi	13680	0	0	1				absent
UP000254866	Venustampulla echinocandica	2656787	fungi	10697	0	0	1				absent
UP000254937	Aspergillus phoenicis ATCC 13157	1353007	fungi	11665	0	0	1				absent
UP000256328	Coleophoma crateriformis	565419	fungi	13254	0	0	2				absent
UP000256645	Coleophoma cylindrospora	1849047	fungi	14176	0	0	2				absent
UP000256690	Aspergillus mulundensis	1810919	fungi	11569	0	0	1				absent
UP000256964	Lentinus brumalis	2498619	fungi	18174	0	0	1				absent
UP000258309	Scytalidium lignicola (Hyphomycete)	5539	fungi	12794	0	0	2				absent
UP000262825	Saccharomycodes ludwigii	36035	fungi	4013	0	0	0				absent
UP000265631	Fusarium flagelliforme	2675880	fungi	13039	0	0	2				absent
UP000265663	Pyrenophora seminiperda CCB06	1302712	fungi	8702	0	0	0				absent
UP000266152	Fusarium sporotrichioides	5514	fungi	11960	0	0	2				absent
UP000266188	Aspergillus sclerotialis	2070753	fungi	11306	0	0	1				absent
UP000266234	Fusarium longipes	694270	fungi	11420	0	0	1				absent
UP000266272	Trichoderma arundinaceum	490622	fungi	10471	0	0	1				absent
UP000267145	Verticillium nonalfalfae	1051616	fungi	9427	0	0	2				absent
UP000267251	Piptocephalis cylindrospora	1907219	fungi	4271	1	0	2	595.3	2e-175	A0A4P9Y2S6	present
UP000267821	Terfezia boudieri ATCC MYA-4762	1051890	fungi	12026	0	0	2				absent
UP000268093	Jimgerdemannia flammicorona	994334	fungi	13497	0	0	8				absent
UP000268162	Dimargaris cristalligena	215637	fungi	7376	0	0	3				absent
UP000269721	Blyttiomyces helicus	388810	fungi	12137	1	0	3	357.4	1e-103	A0A4P9W363	present
UP000269793	Malassezia restricta (strain ATCC 96810 / NBRC 103918 / CBS 7877) (Seborrheic dermatitis infection agent)	425264	fungi	4097	0	0	1				absent
UP000271241	Thamnocephalis sphaerospora	78915	fungi	6769	0	0	3				absent
UP000272025	Sodiomyces alkalinus (strain CBS 110278 / VKM F-3762 / F11) (Alkaliphilic filamentous fungus)	1314773	fungi	9397	0	0	3				absent
UP000274822	Jimgerdemannia flammicorona	994334	fungi	13695	1	0	7	1348.6	0	A0A433QY11	present
UP000274922	Caulochytrium protostelioides	1555241	fungi	6161	0	0	2				absent
UP000275078	Ascobolus immersus RN42	1160509	fungi	17778	0	0	2				absent
UP000275385	Coniochaeta pulveracea	177199	fungi	10012	0	0	2				absent
UP000276215	Choiromyces venosus 120613-1	1336337	fungi	17720	0	0	2				absent
UP000277212	Fusarium kuroshium	2010991	fungi	16484	0	0	1				absent
UP000277580	Morchella conica CCBAS932	1392247	fungi	11578	0	0	2				absent
UP000278143	Syncephalis pseudoplumigaleata	1712513	fungi	5997	0	0	2				absent
UP000279236	Apiotrichum porosum	105984	fungi	9145	0	0	2				absent
UP000279259	Saitozyma podzolica	1890683	fungi	10205	0	0	2				absent
UP000280685	Podospora comata	48703	fungi	10445	0	0	2				absent
UP000283090	Arthrobotrys flagrans (Nematode-trapping fungus) (Trichothecium flagrans)	97331	fungi	10325	0	0	3				absent
UP000283269	Psilocybe cyanescens	93625	fungi	15931	0	0	1				absent
UP000283383	Golovinomyces cichoracearum	62708	fungi	6757	0	0	1				absent
UP000283841	Paecilomyces variotii (Byssochlamys spectabilis)	264951	fungi	9264	0	0	2				absent
UP000283895	Cytospora schulzeri	448051	fungi	10560	0	0	2				absent
UP000284375	Cytospora chrysosperma (Cytospora canker fungus) (Sphaeria chrysosperma)	252740	fungi	9818	0	0	2				absent
UP000284706	Gymnopilus dilepis	231916	fungi	16218	0	0	1				absent
UP000284842	Panaeolus cyanescens	181874	fungi	13419	0	0	2				absent
UP000285146	Cytospora leucostoma	1230097	fungi	10071	0	0	2				absent
UP000286045	Xylaria grammica	363999	fungi	12125	0	0	1				absent
UP000286134	Erysiphe neolycopersici	212602	fungi	6847	0	0	2				absent
UP000286921	Aspergillus awamori (Black koji mold)	105351	fungi	11139	0	0	1				absent
UP000287124	Fusarium euwallaceae	1147111	fungi	17627	0	0	2				absent
UP000287144	Fusarium oligoseptatum	2604345	fungi	17739	0	0	1				absent
UP000287166	Sparassis crispa	139825	fungi	13078	0	0	1				absent
UP000287972	Fusarium floridanum	1325733	fungi	16761	0	0	2				absent
UP000288168	Fusarium duplospermum	1325734	fungi	16262	0	0	2				absent
UP000288429	Fusarium ambrosium	131363	fungi	17261	0	0	2				absent
UP000289152	Tremella mesenterica (Jelly fungus)	5217	fungi	8061	0	0	1				absent
UP000290288	Candolleomyces aberdarensis	2316362	fungi	14686	0	0	1				absent
UP000290900	Brettanomyces naardenensis (Yeast)	13370	fungi	5175	0	0	1				absent
UP000292082	Dichomitus squalens	114155	fungi	15221	0	0	1				absent
UP000292447	Metschnikowia aff. pulcherrima	2163413	fungi	5795	0	0	1				absent
UP000292702	Steccherinum ochraceum	92696	fungi	12246	0	0	2				absent
UP000293195	Alternaria tenuissima	119927	fungi	13806	0	0	2				absent
UP000293360	Monosporascus ibericus	155417	fungi	11059	0	0	1				absent
UP000293547	Alternaria gaisen	167740	fungi	13201	0	0	2				absent
UP000293823	Alternaria arborescens	156630	fungi	12852	0	0	2				absent
UP000294003	Monosporascus cannonballus	155416	fungi	10677	0	0	1				absent
UP000294933	Rickenella mellea	50990	fungi	17053	0	0	4				absent
UP000295083	Colletotrichum spinosum	1347390	fungi	12539	0	0	2				absent
UP000295604	Colletotrichum sidae	1347389	fungi	12442	0	0	2				absent
UP000295703	Colletotrichum trifolii	5466	fungi	12236	0	0	2				absent
UP000297229	Botrytis elliptica	278938	fungi	12555	0	0	3				absent
UP000297280	Botrytis porri	87229	fungi	11857	0	0	3				absent
UP000297299	Botryotinia calthae	38488	fungi	12263	0	0	2				absent
UP000297452	Botryotinia narcissicola	278944	fungi	12236	0	0	2				absent
UP000297527	Botryotinia convoluta	54673	fungi	12417	0	0	2				absent
UP000297716	Xylaria hypoxylon	37992	fungi	11037	0	0	1				absent
UP000297777	Botrytis tulipae	87230	fungi	12564	0	0	2				absent
UP000297814	Botrytis hyacinthi	278943	fungi	12130	0	0	3				absent
UP000297910	Botrytis paeoniae	278948	fungi	12045	0	0	2				absent
UP000298030	Coprinellus micaceus (Glistening ink-cap mushroom) (Coprinus micaceus)	71717	fungi	23011	0	0	1				absent
UP000298061	Hericium alpestre	135208	fungi	11000	0	0	0				absent
UP000298138	Ascodesmis nigricans	341454	fungi	9617	0	0	2				absent
UP000298327	Dentipellis fragilis	205917	fungi	11715	0	0	0				absent
UP000298493	Venturia nashicola	86259	fungi	11754	0	0	1				absent
UP000301737	Zygosaccharomyces mellis	42258	fungi	4737	0	0	1				absent
UP000305067	Pterulicium gracile	1884261	fungi	12852	0	0	2				absent
UP000305948	Heliocybe sulcata	5364	fungi	12554	0	0	1				absent
UP000306050	Sporisorium graminicola	280036	fungi	6585	0	0	1				absent
UP000307173	Pichia inconspicua	52247	fungi	5046	0	0	1				absent
UP000307440	Coprinopsis marcescibilis (Agaric fungus) (Psathyrella marcescibilis)	230819	fungi	14526	0	0	1				absent
UP000308092	Aspergillus tanneri	1220188	fungi	13554	0	0	1				absent
UP000308197	Polyporus arcularius HHB13444	1314778	fungi	17473	0	0	1				absent
UP000308199	Phellinidium pouzarii	167371	fungi	8697	0	0	2				absent
UP000308549	Salinomyces thailandicus	706561	fungi	8771	0	0	1				absent
UP000308652	Crucibulum laeve	68775	fungi	14180	0	0	3				absent
UP000308671	Botrytis galanthina	278940	fungi	12388	0	0	3				absent
UP000308730	Antrodiella citrinella	2447956	fungi	9798	0	0	1				absent
UP000308768	Cryomyces minteri	331657	fungi	13291	0	0	2				absent
UP000309038	Hermanssonia centrifuga	98765	fungi	8464	0	0	2				absent
UP000309340	Friedmanniomyces simplex	329884	fungi	13631	0	0	2				absent
UP000310108	Colletotrichum tanaceti	1306861	fungi	12168	0	0	3				absent
UP000310158	Bondarzewia mesenterica	1095465	fungi	10514	0	0	1				absent
UP000310189	Wallemia hederae	1540922	fungi	4107	0	0	1				absent
UP000311382	Rhodotorula diobovata	5288	fungi	7905	0	0	1				absent
UP000313359	Lentinus tigrinus ALCF2SS1-6	1328759	fungi	15512	0	0	1				absent
UP000315522	Lachnellula willkommii	215461	fungi	8978	0	0	2				absent
UP000315783	Cordyceps javanica	43265	fungi	11436	0	0	1				absent
UP000316270	Venturia effusa	50376	fungi	10819	0	0	1				absent
UP000317494	Synchytrium endobioticum	286115	fungi	7895	0	0	4				absent
UP000318582	Powellomyces hirtus	109895	fungi	6533	0	0	2				absent
UP000319160	Xylaria flabelliformis	2512241	fungi	11403	0	0	1				absent
UP000319257	Thyridium curvatum	1093900	fungi	12104	0	0	1				absent
UP000319663	Monascus purpureus (Red mold) (Monascus anka)	5098	fungi	8080	0	0	1				absent
UP000319731	Synchytrium microbalum	1806994	fungi	6304	0	0	4				absent
UP000320333	Chytriomyces confervae	246404	fungi	10661	1	0	6	1324.3	0	A0A507FK04	present
UP000320762	Schizophyllum amplum	97359	fungi	15404	0	0	2				absent
UP000322225	Kwoniella shandongensis	1734106	fungi	7347	0	0	2				absent
UP000322245	Cryptococcus floricola	2591691	fungi	8188	0	0	1				absent
UP000322873	Monilinia fructicola (Brown rot fungus) (Ciboria fructicola)	38448	fungi	13749	0	0	2				absent
UP000323386	Pseudozyma flocculosa	84751	fungi	7767	0	0	1				absent
UP000324022	Ustilago trichophora	86804	fungi	13002	0	0	1				absent
UP000324639	Blumeria graminis f. sp. tritici	62690	fungi	8255	0	0	1				absent
UP000324748	Puccinia graminis f. sp. tritici	56615	fungi	36348	0	0	1				absent
UP000325008	Moesziomyces antarcticus (Yeast) (Pseudozyma antarctica)	84753	fungi	7050	0	0	1				absent
UP000325395	Aspergillus pseudocaelatus	1825620	fungi	13895	0	0	1				absent
UP000325433	Aspergillus transmontanensis	1034304	fungi	14200	0	0	1				absent
UP000325579	Aspergillus pseudonomiae	1506151	fungi	13384	0	0	1				absent
UP000325672	Aspergillus pseudotamarii	132259	fungi	13426	0	0	1				absent
UP000325780	Aspergillus avenaceus	36643	fungi	11290	0	0	1				absent
UP000325902	Lasiodiplodia theobromae	45133	fungi	12895	0	0	2				absent
UP000325945	Aspergillus sergii	1034303	fungi	13713	0	0	1				absent
UP000326198	Aspergillus bertholletiae	1226010	fungi	12944	0	0	1				absent
UP000326268	Aspergillus caelatus	61420	fungi	13914	0	0	1				absent
UP000326289	Aspergillus minisclerotigenes	656917	fungi	13415	0	0	1				absent
UP000326340	Colletotrichum shisoi	2078593	fungi	11847	0	0	2				absent
UP000326532	Aspergillus parasiticus	5067	fungi	13769	0	0	1				absent
UP000326565	Aspergillus leporis	41062	fungi	12743	0	0	1				absent
UP000326757	Monilinia laxa (Brown rot fungus) (Sclerotinia laxa)	61186	fungi	12416	0	0	2				absent
UP000326799	Aspergillus novoparasiticus	986946	fungi	14181	0	0	1				absent
UP000326924	Sphaerosporella brunnea	1250544	fungi	12382	0	0	2				absent
UP000326950	Aspergillus tamarii	41984	fungi	13330	0	0	1				absent
UP000327118	Aspergillus coremiiformis	138285	fungi	9078	0	0	1				absent
UP000383932	Ceratobasidium theobromae	1582974	fungi	9256	0	0	2				absent
UP000398389	Magnusiomyces paraingens	2606893	fungi	6465	0	0	3				absent
UP000422736	Kluyveromyces marxianus (Yeast) (Candida kefyr)	4911	fungi	5070	0	0	0				absent
UP000431533	Lachnellula hyalina	1316788	fungi	9156	0	0	2				absent
UP000434172	Colletotrichum asianum	702518	fungi	17925	0	0	3				absent
UP000443090	Lachnellula occidentalis	215460	fungi	8908	0	0	2				absent
UP000449547	Diutina rugosa (Yeast) (Candida rugosa)	5481	fungi	5811	0	0	1				absent
UP000452235	Aspergillus terreus	33178	fungi	10118	0	0	1				absent
UP000462212	Lachnellula subtilissima	602034	fungi	8945	0	0	2				absent
UP000465220	Aspergillus lentulus	293939	fungi	10351	0	0	1				absent
UP000465266	Aspergillus udagawae	91492	fungi	10693	0	0	1				absent
UP000467700	Cyclocybe aegerita (Black poplar mushroom) (Agrocybe aegerita)	1973307	fungi	13316	0	0	0				absent
UP000469558	Lachnellula suecica	602035	fungi	10312	0	0	2				absent
UP000469559	Lachnellula arida	1316785	fungi	9593	0	0	2				absent
UP000473826	Vanrija humicola (Yeast) (Cryptococcus humicola)	5417	fungi	4373	0	0	1				absent
UP000478008	Dekkera bruxellensis (Brettanomyces custersii)	5007	fungi	4659	0	0	1				absent
UP000481288	Lachnellula cervina	1316786	fungi	9411	0	0	3				absent
UP000481858	Xylaria multiplex	323545	fungi	10963	0	0	1				absent
UP000481861	Massariosphaeria phaeospora	100035	fungi	14012	0	0	2				absent
UP000490939	Venturia inaequalis (Apple scab fungus)	5025	fungi	11755	0	0	1				absent
UP000501346	Saccharomyces pastorianus (Lager yeast) (Saccharomyces cerevisiae x Saccharomyces eubayanus)	27292	fungi	10697	0	0	2				absent
UP000503462	Peltaster fructicola	286661	fungi	8072	0	0	1				absent
UP000504636	Mytilinidion resinicola	574789	fungi	16739	0	0	1				absent
UP000504637	Dissoconium aciculare CBS 342.82	1314786	fungi	10290	0	0	1				absent
UP000504638	Eremomyces bilateralis CBS 781.70	1392243	fungi	9854	0	0	1				absent
UP000509510	Talaromyces rugulosus (Penicillium rugulosum)	121627	fungi	11830	0	0	0				absent
UP000509704	Zygotorulaspora mrakii (Zygosaccharomyces mrakii)	42260	fungi	5020	0	0	1				absent
UP000510647	Torulaspora globosa	48254	fungi	4924	0	0	1				absent
UP000510686	Metarhizium brunneum	500148	fungi	11401	0	0	2				absent
UP000515153	Pyricularia grisea (Crabgrass-specific blast fungus) (Magnaporthe grisea)	148305	fungi	12457	0	0	2				absent
UP000515788	Torulaspora globosa	48254	fungi	4918	0	0	1				absent
UP000518752	Collybiopsis confluens	2823264	fungi	14895	0	0	2				absent
UP000521872	Agrocybe pediades	84607	fungi	12863	0	0	1				absent
UP000521943	Ephemerocybe angulata	980116	fungi	25427	0	0	2				absent
UP000522262	Fusarium mexicanum	751941	fungi	14382	0	0	2				absent
UP000530670	Fusarium tjaetaba	1567544	fungi	14180	0	0	2				absent
UP000531561	Botrytis fragariae	1964551	fungi	12345	0	0	2				absent
UP000532311	Fusarium globosum	78864	fungi	14587	0	0	2				absent
UP000536711	Fusarium acutatum	78861	fungi	14072	0	0	2				absent
UP000537989	Fusarium austroamericanum	282268	fungi	11983	0	0	2				absent
UP000541154	Petromyces alliaceus (Aspergillus alliaceus)	209559	fungi	12705	0	0	1				absent
UP000541558	Ephemerocybe angulata	980116	fungi	14934	0	0	1				absent
UP000544095	Fusarium pseudoanthophilum	48495	fungi	14083	0	0	2				absent
UP000544331	Fusarium mundagurra	1567541	fungi	15662	0	0	2				absent
UP000546213	Fusarium pseudocircinatum	56676	fungi	14261	0	0	2				absent
