branch_lengths	model	axis	rate	loglik	shape	argmax	at_boundary
unit	ER	loss	31.6228	-214.182	monotone decreasing	1e-06	1
unit	ER	loss	56.2341	-214.182	monotone decreasing	1e-06	1
unit	ER	loss	100	-214.182	monotone decreasing	1e-06	1
unit	ARD	loss	1e-06	-0.001775	monotone decreasing	1e-06	1
unit	ARD	loss	1.77828e-06	-0.003155	monotone decreasing	1e-06	1
unit	ARD	loss	3.16228e-06	-0.005609	monotone decreasing	1e-06	1
unit	ARD	loss	5.62341e-06	-0.009968	monotone decreasing	1e-06	1
unit	ARD	loss	1e-05	-0.017703	monotone decreasing	1e-06	1
unit	ARD	loss	1.77828e-05	-0.031414	monotone decreasing	1e-06	1
unit	ARD	loss	3.16228e-05	-0.05565	monotone decreasing	1e-06	1
unit	ARD	loss	5.62341e-05	-0.098308	monotone decreasing	1e-06	1
unit	ARD	loss	0.0001	-0.17284	monotone decreasing	1e-06	1
unit	ARD	loss	0.000177828	-0.301543	monotone decreasing	1e-06	1
unit	ARD	loss	0.000316228	-0.519942	monotone decreasing	1e-06	1
unit	ARD	loss	0.000562341	-0.88217	monotone decreasing	1e-06	1
unit	ARD	loss	0.001	-1.46845	monotone decreasing	1e-06	1
unit	ARD	loss	0.00177828	-2.40054	monotone decreasing	1e-06	1
unit	ARD	loss	0.00316228	-3.87778	monotone decreasing	1e-06	1
unit	ARD	loss	0.00562341	-6.25045	monotone decreasing	1e-06	1
unit	ARD	loss	0.01	-10.1509	monotone decreasing	1e-06	1
unit	ARD	loss	0.0177828	-16.7199	monotone decreasing	1e-06	1
unit	ARD	loss	0.0316228	-28.0018	monotone decreasing	1e-06	1
unit	ARD	loss	0.0562341	-47.6442	monotone decreasing	1e-06	1
unit	ARD	loss	0.1	-82.1408	monotone decreasing	1e-06	1
unit	ARD	loss	0.177828	-143.042	monotone decreasing	1e-06	1
unit	ARD	loss	0.316228	-250.881	monotone decreasing	1e-06	1
unit	ARD	loss	0.562341	-442.132	monotone decreasing	1e-06	1
unit	ARD	loss	1	-781.438	monotone decreasing	1e-06	1
unit	ARD	loss	1.77828	-1381.79	monotone decreasing	1e-06	1
unit	ARD	loss	3.16228	-2334.3	monotone decreasing	1e-06	1
unit	ARD	loss	5.62341	-2668.17	monotone decreasing	1e-06	1
unit	ARD	loss	10	-2846.03	monotone decreasing	1e-06	1
unit	ARD	loss	17.7828	-3023.89	monotone decreasing	1e-06	1
unit	ARD	loss	31.6228	-3201.75	monotone decreasing	1e-06	1
unit	ARD	loss	56.2341	-3379.62	monotone decreasing	1e-06	1
