coding	character	evidence	use_r5	use_r6	is_base	n_tips_scored	n_present	n_absent	n_undecided	n_unknown_tips	dollo_losses_max	dollo_losses_min	gain_node	gain_rule	mrca_of_present	resolution_note
paralog	ITPR3	locus_only	0	0	0	309	296	13	0	0	11	10	Gnathostomata	MRCA of present tips	Gnathostomata	11 loss edges collapse to 10 independent events if every polytomy carrying more than one is resolved against them
family	ITPR_family	full_locus_only	1	1	0	309	308	0	1	1	0	0	Vertebrata	pinned at root	Vertebrata	
paralog	ITPR1	full_locus_only	1	1	0	309	261	0	48	48	0	0	Vertebrata	MRCA of present tips	Vertebrata	
paralog	ITPR2	full_locus_only	1	1	0	309	253	1	55	55	1	1	Gnathostomata	MRCA of present tips	Gnathostomata	
paralog	ITPR3	full_locus_only	1	1	0	309	269	0	40	40	0	0	Gnathostomata	MRCA of present tips	Gnathostomata	
family	ITPR_family	full_locus_only	1	0	0	309	308	1	0	0	1	1	Vertebrata	pinned at root	Vertebrata	
paralog	ITPR1	full_locus_only	1	0	0	309	261	20	28	28	20	16	Vertebrata	MRCA of present tips	Vertebrata	20 loss edges collapse to 16 independent events if every polytomy carrying more than one is resolved against them
paralog	ITPR2	full_locus_only	1	0	0	309	253	28	28	28	25	23	Gnathostomata	MRCA of present tips	Gnathostomata	25 loss edges collapse to 23 independent events if every polytomy carrying more than one is resolved against them
paralog	ITPR3	full_locus_only	1	0	0	309	269	13	27	27	13	13	Gnathostomata	MRCA of present tips	Gnathostomata	
family	ITPR_family	full_locus_only	0	1	0	309	308	0	1	1	0	0	Vertebrata	pinned at root	Vertebrata	
paralog	ITPR1	full_locus_only	0	1	0	309	261	1	47	47	1	1	Vertebrata	MRCA of present tips	Vertebrata	
paralog	ITPR2	full_locus_only	0	1	0	309	253	4	52	52	2	2	Gnathostomata	MRCA of present tips	Gnathostomata	
paralog	ITPR3	full_locus_only	0	1	0	309	269	4	36	36	2	2	Gnathostomata	MRCA of present tips	Gnathostomata	
family	ITPR_family	full_locus_only	0	0	0	309	308	1	0	0	1	1	Vertebrata	pinned at root	Vertebrata	
paralog	ITPR1	full_locus_only	0	0	0	309	261	48	0	0	41	29	Vertebrata	MRCA of present tips	Vertebrata	41 loss edges collapse to 29 independent events if every polytomy carrying more than one is resolved against them
paralog	ITPR2	full_locus_only	0	0	0	309	253	56	0	0	45	37	Gnathostomata	MRCA of present tips	Gnathostomata	45 loss edges collapse to 37 independent events if every polytomy carrying more than one is resolved against them
paralog	ITPR3	full_locus_only	0	0	0	309	269	40	0	0	32	27	Gnathostomata	MRCA of present tips	Gnathostomata	32 loss edges collapse to 27 independent events if every polytomy carrying more than one is resolved against them
