id	slot	origin	rank	passed	assignment	rel_margin	itpr_score	ryr_score	envelope_frac	max_internal_gap	n_segments	reason
A0A6P8F820|ITPR2|Clupea_harengus	ITPR2@actinopteri	s5_addition	1	1	ITPR	0.8888	4033.3	448.7	0.9974	0	1	slot already filled
A0A8C5FAW6|ITPR2|Gadus_morhua	ITPR2@actinopteri	s5_addition	2	1	ITPR	0.8877	3971.4	446.0	0.9948	0	1	slot already filled
A0A8C6KWV8|ITPR3|Nothobranchius_furzeri	ITPR3@actinopteri	s5_addition	0	1	ITPR	0.8949	3867.2	406.6	0.9925	0	1	itpr.hmm wins at 89% margin over an envelope covering 99% in 1 segment(s)
A0A6J2W569|ITPR3|Chanos_chanos	ITPR3@actinopteri	s5_addition	1	1	ITPR	0.8961	3906.8	405.8	0.994	0	1	slot already filled
A0A3B4EJE4|ITPR3|Pygocentrus_nattereri	ITPR3@actinopteri	s5_addition	2	1	ITPR	0.8991	3902.5	393.8	0.994	0	1	slot already filled
A0ABM4F3U0|ITPR1|Apteryx_mantelli	ITPR1@aves	s5_addition	0	1	ITPR	0.9038	4430.4	426.4	0.9996	0	1	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
H0ZJ48|ITPR1|Taeniopygia_guttata	ITPR1@aves	s5_addition	1	1	ITPR	0.9037	4420.8	425.9	0.9985	0	1	slot already filled
A0A672VCS0|ITPR1|Strigops_habroptila	ITPR1@aves	s5_addition	2	1	ITPR	0.9035	4421.5	426.5	0.9989	0	1	slot already filled
A0A672UP22|ITPR2|Strigops_habroptila	ITPR2@aves	s5_addition	0	1	ITPR	0.8973	4276.2	439.3	0.9978	0	1	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A674H2A0|ITPR2|Taeniopygia_guttata	ITPR2@aves	s5_addition	1	1	ITPR	0.8964	4275.1	443.0	0.9978	0	1	slot already filled
A0A6J3CSN9|ITPR2|Aythya_fuligula	ITPR2@aves	s5_addition	2	1	ITPR	0.8984	4215.0	428.1	0.9978	0	1	slot already filled
A0A7K6LHC3|ITPR3|Falcunculus_frontatus	ITPR3@aves	s5_addition	0	1	ITPR	0.8975	4043.8	414.4	1.0	0	1	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A7L2HCD9|ITPR3|Sagittarius_serpentarius	ITPR3@aves	s5_addition	1	1	ITPR	0.8986	4048.8	410.4	1.0	0	1	slot already filled
A0A7K6T1X4|ITPR3|Caloenas_nicobarica	ITPR3@aves	s5_addition	2	1	ITPR	0.8987	4047.5	409.9	1.0	0	1	slot already filled
A0A4W3GWE7|ITPR3|Callorhinchus_milii	ITPR3@chondrichthyes	s5_addition	0	1	ITPR	0.8909	3827.0	417.5	0.9981	0	1	itpr.hmm wins at 89% margin over an envelope covering 100% in 1 segment(s)
A0A670JBK6|ITPR1|Podarcis_muralis	ITPR1@reptilia	s5_addition	0	1	ITPR	0.9022	4401.1	430.4	0.9996	0	1	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A8C3HP94|ITPR1|Chrysemys_picta_bellii	ITPR1@reptilia	s5_addition	1	1	ITPR	0.903	4417.9	428.5	0.9996	0	1	slot already filled
A0A3Q0GVK6|ITPR1|Alligator_sinensis	ITPR1@reptilia	s5_addition	2	1	ITPR	0.9042	4416.4	423.2	0.9996	0	1	slot already filled
A0ABM1LG32|ITPR2|Gekko_japonicus	ITPR2@reptilia	s5_addition	0	1	ITPR	0.8978	4231.2	432.4	0.9978	0	1	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
A0A674KE30|ITPR2|Terrapene_triunguis	ITPR2@reptilia	s5_addition	1	1	ITPR	0.8969	4257.3	438.8	0.9963	0	1	slot already filled
A0A6J0TV85|ITPR3|Pogona_vitticeps	ITPR3@reptilia	s5_addition	0	1	ITPR	0.8973	4033.7	414.4	0.9996	0	1	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
K7G568|ITPR3|Pelodiscus_sinensis	ITPR3@reptilia	s5_addition	1	1	ITPR	0.8937	3996.9	424.9	0.9993	0	1	slot already filled
A0A7M4F8Y9|ITPR3|Crocodylus_porosus	ITPR3@reptilia	s5_addition	2	1	ITPR	0.8951	4044.0	424.4	1.0	0	1	slot already filled
A0A3Q0HBW9|RYR|Alligator_sinensis	RYR@reptilia	s5_addition	0	1	RYR	0.9122	739.7	8426.0	0.9906	27	2	ryr.hmm wins at 91% margin over an envelope covering 99% in 2 segment(s)
A0ABM3ZIZ0|RYR|Pantherophis_guttatus	RYR@reptilia	s5_addition	1	1	RYR	0.9122	736.6	8385.0	0.9996	0	1	slot already filled
A0A8C3F922|RYR|Chrysemys_picta_bellii	RYR@reptilia	s5_addition	2	1	RYR	0.9123	726.8	8289.9	0.9972	0	1	slot already filled
H3B932|ITPR3|Latimeria_chalumnae	ITPR3@sarcopterygian_fish	s5_addition	0	1	ITPR	0.8965	3705.8	383.7	0.9989	0	1	itpr.hmm wins at 90% margin over an envelope covering 100% in 1 segment(s)
H3BGR5|RYR|Latimeria_chalumnae	RYR@sarcopterygian_fish	s5_addition	0	1	RYR	0.9122	705.1	8033.1	0.9998	0	1	ryr.hmm wins at 91% margin over an envelope covering 100% in 1 segment(s)
