symbol	ensembl_gene	status
ACAD11	ENSG00000240303	background
ACAD8	ENSG00000151498	wanted
ACAD9	ENSG00000177646	wanted
ACAD9-DT	ENSG00000287110	background
ACADL	ENSG00000115361	background
ACADM	ENSG00000117054	background
ACADS	ENSG00000122971	wanted
ACADSB	ENSG00000196177	background
ACADVL	ENSG00000072778	background
ACAN	ENSG00000157766	background
ACAP1	ENSG00000072818	background
ACAP2	ENSG00000114331	background
ACAP2-IT1	ENSG00000229325	background
ACAP3	ENSG00000131584	background
ACAT1	ENSG00000075239	wanted
ACAT2	ENSG00000120437	wanted
ACBD3	ENSG00000182827	wanted
ACBD3-AS1	ENSG00000234478	background
ACBD4	ENSG00000181513	wanted
ACBD5	ENSG00000107897	wanted
ACBD6	ENSG00000230124	background
ACBD7	ENSG00000176244	wanted
ACBD7P1	ENSG00000225531	background
ACCS	ENSG00000110455	background
ACCSL	ENSG00000205126	background
ACCSLP1	ENSG00000230570	background
ACD	ENSG00000102977	background
ACE	ENSG00000159640	wanted
ACE2	ENSG00000130234	background
ACE2-DT	ENSG00000225833	background
ACE3P	ENSG00000224353	background
ACER1	ENSG00000167769	background
ACER2	ENSG00000177076	background
ACER2P1	ENSG00000180105	background
ACER3	ENSG00000078124	wanted
ACER3-AS1	ENSG00000254988	background
ACHE	ENSG00000087085	background
ACIN1	ENSG00000100813	background
ACKR1	ENSG00000213088	background
ACKR2	ENSG00000144648	background
ACKR3	ENSG00000144476	background
ACKR4	ENSG00000129048	background
ACKR4P1	ENSG00000225415	background
ACKR5	ENSG00000166856	background
ACLY	ENSG00000131473	wanted
ACMSD	ENSG00000153086	background
ACNATP	ENSG00000227411	background
ACO1	ENSG00000122729	background
ACO2	ENSG00000100412	background
ACO2P1	ENSG00000235485	background
ACO2P2	ENSG00000235371	background
ACOD1	ENSG00000102794	background
ACOT1	ENSG00000184227	background
ACOT11	ENSG00000162390	background
ACOT12	ENSG00000172497	background
ACOT13	ENSG00000112304	background
ACOT2	ENSG00000119673	background
ACOT4	ENSG00000177465	background
ACOT4P1	ENSG00000267142	background
ACOT6	ENSG00000205669	background
ACOT7	ENSG00000097021	background
ACOT8	ENSG00000101473	background
ACOT9	ENSG00000123130	background
ACOX1	ENSG00000161533	background
ACOX2	ENSG00000168306	background
ACOX3	ENSG00000087008	background
ACOXL	ENSG00000153093	background
ACOXL-AS1	ENSG00000204581	background
ACP1	ENSG00000143727	background
ACP2	ENSG00000134575	background
ACP3	ENSG00000014257	background
ACP4	ENSG00000142513	background
ACP5	ENSG00000102575	background
ACP6	ENSG00000162836	background
ACP7	ENSG00000183760	wanted
ACR	ENSG00000100312	background
ACRBP	ENSG00000111644	background
ACRP1	ENSG00000175509	background
ACRV1	ENSG00000134940	background
ACSBG1	ENSG00000103740	background
ACSBG2	ENSG00000130377	background
ACSF2	ENSG00000167107	background
ACSF3	ENSG00000176715	background
ACSL1	ENSG00000151726	background
ACSL3	ENSG00000123983	background
ACSL3-AS1	ENSG00000234193	background
