query	target	query_role	target_role	query_call	target_call	query_paralog	target_paralog	tm_query	tm_target	tm_max	rmsd	aligned	seq_identity	len_query	len_target	ok	error
control_DYNC1H1_9BLZ	model_A0AAE0F2K9	control	model	control	ITPR	giant (out of band)	CYMTET_42485	0.163	0.3472	0.3472	9.34	611	0.082	2889	1135	1	
control_DYNC1H1_9BLZ	model_A0AAN0K328	control	model	control	ITPR	giant (out of band)		0.1465	0.2857	0.2857	9.56	553	0.049	2889	1274	1	
control_DYNC1H1_9BLZ	model_G0QNB9	control	model	control	ITPR	giant (out of band)	IMG5_057070	0.1517	0.2926	0.2926	9.76	581	0.059	2889	1273	1	
control_DYNC1H1_9BLZ	model_P11881	control	model	control	ITPR	giant (out of band)	ITPR1	0.2251	0.2381	0.2381	11.58	932	0.057	2889	2694	1	
control_DYNC1H1_9BLZ	model_P70227	control	model	control	ITPR	giant (out of band)	ITPR3	0.2067	0.2198	0.2198	12.23	895	0.056	2889	2670	1	
control_DYNC1H1_9BLZ	model_Q14573	control	model	control	ITPR	giant (out of band)	ITPR3	0.2163	0.2301	0.2301	12.04	919	0.063	2889	2671	1	
control_DYNC1H1_9BLZ	model_Q14643	control	model	control	ITPR	giant (out of band)	ITPR1	0.2154	0.2275	0.2275	11.9	913	0.065	2889	2695	1	
control_DYNC1H1_9BLZ	model_Q63269	control	model	control	ITPR	giant (out of band)	ITPR3	0.2238	0.2382	0.2382	11.87	946	0.056	2889	2670	1	
control_DYNC1H1_9BLZ	model_Q8WSR4	control	model	control	ITPR	giant (out of band)		0.2143	0.2261	0.2261	12.02	913	0.057	2889	2698	1	
control_DYNC1H1_9BLZ	model_Q9Y0A1	control	model	control	ITPR	giant (out of band)		0.1961	0.2953	0.2953	10.98	799	0.063	2889	1713	1	
control_DYNC1H1_9BLZ	model_Q9Z329	control	model	control	ITPR	giant (out of band)	ITPR2	0.2032	0.2163	0.2163	12.2	872	0.06	2889	2668	1	
control_DYNC1H1_9BLZ	reference_ITPR1_7LHF	control	reference	control	ITPR	giant (out of band)	ITPR1	0.2046	0.2449	0.2449	11.44	850	0.068	2889	2300	1	
control_DYNC1H1_9BLZ	reference_ITPR2_9YKK	control	reference	control	ITPR	giant (out of band)	ITPR2	0.1958	0.2462	0.2462	11.28	803	0.054	2889	2168	1	
control_DYNC1H1_9BLZ	reference_ITPR3_8TKG	control	reference	control	ITPR	giant (out of band)	ITPR3	0.2031	0.2509	0.2509	11.45	844	0.05	2889	2210	1	
control_DYNC1H1_9BLZ	reference_RYR1_9NMO	control	reference	control	RYR	giant (out of band)	RYR1	0.2559	0.1834	0.2559	12.34	1108	0.068	2889	4373	1	
control_DYNC1H1_9BLZ	reference_RYR2_7U9X	control	reference	control	RYR	giant (out of band)	RYR2	0.2454	0.1806	0.2454	12.19	1051	0.062	2889	4224	1	
control_DYNC1H1_9BLZ	state_panel_ITPR3_6DQJ	control	state_panel	control	ITPR	giant (out of band)	ITPR3	0.2054	0.2584	0.2584	10.58	811	0.067	2889	2181	1	
control_DYNC1H1_9BLZ	state_panel_ITPR3_7T3P	control	state_panel	control	ITPR	giant (out of band)	ITPR3	0.2002	0.2645	0.2645	10.64	795	0.06	2889	2047	1	
control_DYNC1H1_9BLZ	state_panel_ITPR3_8TKF	control	state_panel	control	ITPR	giant (out of band)	ITPR3	0.2055	0.2487	0.2487	11.44	850	0.055	2889	2272	1	
control_DYNC1H1_9BLZ	state_panel_ITPR3_8TKH	control	state_panel	control	ITPR	giant (out of band)	ITPR3	0.2158	0.2626	0.2626	10.68	858	0.063	2889	2268	1	
control_DYNC1H1_9BLZ	state_panel_ITPR3_8TLA	control	state_panel	control	ITPR	giant (out of band)	ITPR3	0.1777	0.2354	0.2354	10.85	716	0.074	2889	2034	1	
control_Tln1_8VDO	control_Tln1_8VDO	control	control	control	control	in-band non-channel	in-band non-channel	1.0	1.0	1.0	0.0	1740	1.0	1740	1740	1	
control_Tln1_8VDO	model_A0A4P9Y2S6	control	model	control	ITPR	in-band non-channel	BJ684DRAFT_20267	0.1768	0.2708	0.2708	8.86	423	0.069	1740	1019	1	
control_Tln1_8VDO	model_A0A6A5BJU9	control	model	control	ITPR	in-band non-channel	FDP41_006910	0.2294	0.2985	0.2985	9.81	584	0.058	1740	1238	1	
