stage	rank	model	lnL	df	AIC	AICc	BIC
A_matrix	53	Blosum62+G4	219319.711	266	439171.423	439264.262	440632.793
A_matrix	54	Blosum62+I+G4	219318.759	267	439171.518	439265.117	440638.383
A_matrix	55	Blosum62+F+G4	219438.643	285	439447.287	439555.176	441013.041
A_matrix	56	Blosum62+F+I+G4	219438.245	286	439448.491	439557.208	441019.738
A_matrix	57	Dayhoff+G4	220864.640	266	442261.279	442354.119	443722.650
A_matrix	58	Dayhoff+I+G4	220862.524	267	442259.048	442352.646	443725.912
A_matrix	59	Dayhoff+F+G4	219175.309	285	438920.617	439028.506	440486.371
A_matrix	60	Dayhoff+F+I+G4	219174.982	286	438921.964	439030.682	440493.212
A_matrix	61	mtREV+G4	226949.616	266	454431.232	454524.071	455892.602
A_matrix	62	mtREV+I+G4	226947.166	267	454428.333	454521.931	455895.197
A_matrix	63	mtREV+F+G4	220798.169	285	442166.339	442274.228	443732.093
A_matrix	64	mtREV+F+I+G4	220798.094	286	442168.189	442276.907	443739.437
A_matrix	65	mtART+G4	228078.301	266	456688.602	456781.441	458149.972
A_matrix	66	mtART+I+G4	228062.894	267	456659.788	456753.387	458126.653
A_matrix	67	mtART+F+G4	222167.082	285	444904.165	445012.053	446469.919
A_matrix	68	mtART+F+I+G4	222156.439	286	444884.878	444993.596	446456.126
A_matrix	69	mtZOA+G4	223391.597	266	447315.194	447408.033	448776.565
A_matrix	70	mtZOA+I+G4	223375.381	267	447284.761	447378.360	448751.626
A_matrix	71	mtZOA+F+G4	219503.754	285	439577.508	439685.397	441143.262
A_matrix	72	mtZOA+F+I+G4	219497.588	286	439567.176	439675.894	441138.424
A_matrix	73	mtMet+G4	225945.331	266	452422.662	452515.502	453884.033
A_matrix	74	mtMet+I+G4	225934.277	267	452402.554	452496.152	453869.418
A_matrix	75	mtMet+F+G4	219802.993	285	440175.987	440283.875	441741.741
A_matrix	76	mtMet+F+I+G4	219799.794	286	440171.588	440280.306	441742.836
A_matrix	77	mtVer+G4	228969.557	266	458471.115	458563.954	459932.485
A_matrix	78	mtVer+I+G4	228960.422	267	458454.844	458548.443	459921.708
A_matrix	79	mtVer+F+G4	223063.969	285	446697.938	446805.827	448263.692
A_matrix	80	mtVer+F+I+G4	223060.507	286	446693.013	446801.731	448264.261
A_matrix	81	mtInv+G4	226653.509	266	453839.019	453931.858	455300.389
A_matrix	82	mtInv+I+G4	226643.131	267	453820.261	453913.859	455287.125
A_matrix	83	mtInv+F+G4	218503.873	285	437577.745	437685.634	439143.499
A_matrix	84	mtInv+F+I+G4	218500.476	286	437572.952	437681.670	439144.200
A_matrix	85	mtMAM+G4	231308.057	266	463148.114	463240.953	464609.485
A_matrix	86	mtMAM+I+G4	231302.558	267	463139.117	463232.715	464605.981
A_matrix	87	mtMAM+F+G4	225264.785	285	451099.571	451207.459	452665.325
A_matrix	88	mtMAM+F+I+G4	225261.532	286	451095.064	451203.782	452666.312
A_matrix	89	FLAVI+G4	226686.784	266	453905.568	453998.407	455366.938
A_matrix	90	FLAVI+I+G4	226685.735	267	453905.470	453999.069	455372.335
A_matrix	91	FLAVI+F+G4	225408.854	285	451387.708	451495.596	452953.462
A_matrix	92	FLAVI+F+I+G4	225408.738	286	451389.476	451498.194	452960.724
A_matrix	93	HIVb+G4	222885.414	266	446302.828	446395.667	447764.199
A_matrix	94	HIVb+I+G4	222882.313	267	446298.627	446392.225	447765.491
A_matrix	95	HIVb+F+G4	221668.046	285	443906.093	444013.981	445471.847
A_matrix	96	HIVb+F+I+G4	221665.404	286	443902.808	444011.526	445474.056
A_matrix	97	HIVw+G4	232609.313	266	465750.626	465843.465	467211.996
A_matrix	98	HIVw+I+G4	232604.221	267	465742.442	465836.040	467209.306
A_matrix	99	HIVw+F+G4	227633.260	285	455836.521	455944.409	457402.275
A_matrix	100	HIVw+F+I+G4	227623.960	286	455819.919	455928.637	457391.167
A_matrix	101	FLU+G4	222550.997	266	445633.995	445726.834	447095.365
A_matrix	102	FLU+I+G4	222551.078	267	445636.157	445729.755	447103.021
A_matrix	103	FLU+F+G4	221505.428	285	443580.857	443688.746	445146.611
A_matrix	104	FLU+F+I+G4	221505.334	286	443582.668	443691.386	445153.916
A_matrix	105	rtREV+G4	219253.588	266	439039.176	439132.015	440500.546
A_matrix	106	rtREV+I+G4	219249.003	267	439032.007	439125.605	440498.871
A_matrix	107	rtREV+F+G4	217790.012	285	436150.025	436257.913	437715.779
A_matrix	108	rtREV+F+I+G4	217785.581	286	436143.163	436251.881	437714.411
A_matrix	109	cpREV+G4	219115.135	266	438762.271	438855.110	440223.641
A_matrix	110	cpREV+I+G4	219111.322	267	438756.643	438850.242	440223.508
A_matrix	111	cpREV+F+G4	219319.628	285	439209.256	439317.145	440775.010
A_matrix	112	cpREV+F+I+G4	219317.269	286	439206.538	439315.256	440777.786
B_rate	1	Q.insect	224956.554	265	450443.109	450535.192	451898.985
B_rate	2	Q.insect+I	224876.730	266	450285.460	450378.299	451746.831
B_rate	3	Q.insect+G4	216210.145	266	432952.290	433045.129	434413.660
B_rate	4	Q.insect+I+G4	216203.915	267	432941.830	433035.429	434408.695
B_rate	5	Q.insect+R2	218216.984	267	436967.968	437061.566	438434.832
B_rate	6	Q.insect+R3	216693.586	269	433925.173	434020.300	435403.025
B_rate	7	Q.insect+R4	216050.570	271	432643.141	432739.812	434131.981
B_rate	8	Q.insect+R5	215806.300	273	432158.600	432256.830	433658.427
B_rate	9	Q.insect+R6	215661.707	275	431873.415	431973.218	433384.230
B_rate	10	Q.insect+R7	215611.739	277	431777.477	431878.868	433299.281
B_rate	11	Q.insect+R8	215607.275	279	431772.550	431875.543	433305.341
B_rate	14	Q.insect+I+R2	218179.211	268	436894.422	436988.784	438366.781
B_rate	15	Q.insect+I+R3	216671.536	270	433883.072	433978.969	435366.418
B_rate	16	Q.insect+I+R4	216044.585	272	432633.169	432730.618	434127.503
B_rate	17	Q.insect+I+R5	215803.897	274	432155.794	432254.808	433661.115
B_rate	18	Q.insect+I+R6	215663.373	276	431878.747	431979.342	433395.056
B_rate	19	Q.insect+I+R7	215613.204	278	431782.408	431884.598	433309.705
B_rate	20	Q.insect+I+R8	215608.513	280	431777.027	431880.826	433315.311
B_rate	32	Q.insect+F+R7	215867.491	296	432326.982	432444.198	433953.169
B_rate	33	Q.insect+F+R8	215858.673	298	432313.347	432432.308	433950.521
