accession	assignment	confidence	evidence	reason	itpr_score	ryr_score	score_margin	rel_margin	itpr_evalue	ryr_evalue	best_evalue	itpr_coverage	ryr_coverage	itpr_positions	ryr_positions	target_coverage	length	gene	species	taxon_id	reviewed	protein_name	s2_call	s2_arch_call	s2_reason	s2_arch	s2_group	is_seed
A0A016VWG9	ITPR	high	architecture	itpr.hmm wins by 1678.1 bits (100.0% of 1678.1) over 1675 profile positions; no ryr.hmm hit	1678.1	0.0	1678.1	1.0	0		0	0.624	0.0	1675	0	0.977	1843	Acey_s0004.g2123	Ancylostoma ceylanicum	53326	0	Inositol 1,4,5-trisphosphate receptor	unassigned	unassigned	itpr_arch_partial=3/5	3	Metazoa (non-vertebrate)	0
A0A016VX74	ITPR	medium	partial	itpr.hmm wins by 751.5 bits (73.6% of 1021.8) over 738 profile positions	1021.8	270.3	751.5	0.7355	5e-307	9.8e-81	5e-307	0.275	0.083	738	409	0.973	867	Acey_s0004.g2120	Ancylostoma ceylanicum	53326	0	Ion transport domain-containing protein	unassigned	unassigned	itpr_arch_weak=2/5	2	Metazoa (non-vertebrate)	0
A0A016VX80	ITPR	high	architecture	itpr.hmm wins by 1806.7 bits (100.0% of 1806.7) over 1812 profile positions; no ryr.hmm hit	1806.7	0.0	1806.7	1.0	0		0	0.675	0.0	1812	0	0.977	2012	Acey_s0004.g2123	Ancylostoma ceylanicum	53326	0	Inositol 1,4,5-trisphosphate receptor	ITPR	ITPR	itpr_arch_partial=3/5;length_in_band	3	Metazoa (non-vertebrate)	0
A0A023F2G4	ITPR	high	architecture	itpr.hmm wins by 3370.7 bits (88.6% of 3805.7) over 2628 profile positions	3805.7	435.0	3370.7	0.8857	0	2.3e-130	0	0.979	0.266	2628	1311	0.993	2724		Triatoma infestans	30076	0	Inositol 1,4,5-trisphosphate receptor	ITPR	ITPR	itpr_arch_complete	5	Metazoa (non-vertebrate)	0
A0A023F678	RYR	high	architecture	ryr.hmm wins by 6287.1 bits (89.8% of 7002.4) over 4886 profile positions	715.3	7002.4	6287.1	0.8978	1.1e-214	0	0	0.721	0.991	1935	4886	0.999	5065		Triatoma infestans	30076	0	Putative ca2+ release channel ryanodine receptor (Fragment)	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119	5	Metazoa (non-vertebrate)	0
A0A023NE85	RYR	high	architecture	ryr.hmm wins by 6402.8 bits (90.2% of 7094.7) over 4930 profile positions	691.9	7094.7	6402.8	0.9025	1.3e-207	0	0	0.724	1.0	1943	4930	0.999	5128		Leptinotarsa decemlineata	7539	0	Ryanodine receptor	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119	5	Metazoa (non-vertebrate)	0
A0A023NEE5	RYR	high	architecture	ryr.hmm wins by 6328.8 bits (90.0% of 7028.8) over 4930 profile positions	700.0	7028.8	6328.8	0.9004	4.7e-210	0	0	0.706	1.0	1895	4930	0.999	5128		Sogatella furcifera	113103	0	Ryanodine receptor	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119	5	Metazoa (non-vertebrate)	0
A0A023UJ66	RYR	high	architecture	ryr.hmm wins by 6459.6 bits (90.3% of 7155.1) over 4930 profile positions	695.5	7155.1	6459.6	0.9028	1.1e-208	0	0	0.758	1.0	2034	4930	0.999	5140	RyR	Bactrocera dorsalis	27457	0	Ryanodine receptor	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	5	Metazoa (non-vertebrate)	0
A0A026VRJ2	RYR	medium	partial	ryr.hmm wins by 487.8 bits (90.5% of 539.3) over 345 profile positions	51.5	539.3	487.8	0.9045	1.5e-14	9e-162	9e-162	0.07	0.07	188	345	1.0	354	X777_00206	Ooceraea biroi	2015173	0	Ryanodine receptor 44F (Fragment)	unassigned	unassigned	itpr_arch_weak=1/5	1	Metazoa (non-vertebrate)	0
A0A026VT77	ITPR	high	architecture	itpr.hmm wins by 3240.6 bits (87.7% of 3694.3) over 2579 profile positions	3694.3	453.7	3240.6	0.8772	0	5.6e-136	0	0.961	0.282	2579	1390	0.997	2719	X777_00544	Ooceraea biroi	2015173	0	Inositol 1,4,5-trisphosphate receptor	ITPR	ITPR	itpr_arch_complete	5	Metazoa (non-vertebrate)	0
